




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
sodium:phosphate symporter activity (GO:0005436)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
histone acetyltransferase activity (H4-K16 specific) (GO:0046972)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NAD binding (GO:0051287)	30	0	.26	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone deacetylase activity (H4-K16 specific) (GO:0046970)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosylceramidase activity (GO:0004348)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
calcium:sodium antiporter activity (GO:0005432)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alpha-sialidase activity (GO:0016997)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose-6-phosphate isomerase activity (GO:0004347)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose-6-phosphatase activity (GO:0004346)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose-6-phosphate dehydrogenase activity (GO:0004345)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phytanate-CoA ligase activity (GO:0050197)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
glucose dehydrogenase activity (GO:0004344)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
[phosphorylase] phosphatase activity (GO:0050196)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosamine 6-phosphate N-acetyltransferase activity (GO:0004343)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipoate synthase activity (GO:0016992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucosamine-6-phosphate deaminase activity (GO:0004342)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
gluconolactonase activity (GO:0004341)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucokinase activity (GO:0004340)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
single thymine insertion binding (GO:0032143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
hydroperoxy icosatetraenoate dehydratase activity (GO:0106256)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
single guanine insertion binding (GO:0032142)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
citrate-L-glutamate ligase activity (GO:0072591)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetyl-L-aspartate-L-glutamate ligase activity (GO:0072590)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dystroglycan binding (GO:0002162)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA editing activity (GO:0002161)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
NAD-dependent histone deacetylase activity (H3-K9 specific) (GO:0046969)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (H3-T6 specific) (GO:0035403)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (H3-T11 specific) (GO:0035402)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone kinase activity (H3-Y41 specific) (GO:0035401)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thyroid hormone receptor binding (GO:0046966)	18	0	.16	-	 < 0.01	1.00E00	1.00E00
histone tyrosine kinase activity (GO:0035400)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
retinoid X receptor binding (GO:0046965)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
3'-phosphoadenosine 5'-phosphosulfate transmembrane transporter activity (GO:0046964)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cysteine transmembrane transporter activity (GO:0033229)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATPase activity, rotational mechanism (GO:0046961)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glucan 1,4-alpha-glucosidase activity (GO:0004339)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
geranyltranstransferase activity (GO:0004337)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
galactokinase activity (GO:0004335)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dinucleotide insertion or deletion binding (GO:0032139)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphoamidase activity (GO:0050187)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
single base insertion or deletion binding (GO:0032138)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
guanine/thymine mispair binding (GO:0032137)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol deacylase activity (GO:0050185)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fructose-bisphosphate aldolase activity (GO:0004332)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
fructose-2,6-bisphosphate 2-phosphatase activity (GO:0004331)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA insertion or deletion binding (GO:0032135)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
17-beta-hydroxysteroid dehydrogenase (NADP+) activity (GO:0072582)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulatory region RNA binding (GO:0001069)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
steroid receptor RNA activator RNA binding (GO:0002153)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G-quadruplex RNA binding (GO:0002151)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
amino acid:cation symporter activity (GO:0005416)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
CP2 mannose-ethanolamine phosphotransferase activity (GO:0051267)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
formate-tetrahydrofolate ligase activity (GO:0004329)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA 2'-O-methyltransferase activity (GO:0062105)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
glucose:sodium symporter activity (GO:0005412)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
tetrahydrofolylpolyglutamate synthase activity (GO:0004326)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histone deacetylase activity (H3-K9 specific) (GO:0032129)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptidyl-aspartic acid 3-dioxygenase activity (GO:0062101)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ferredoxin-NADP+ reductase activity (GO:0004324)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ganglioside GP1c binding (GO:1905577)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thiol oxidase activity (GO:0016972)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
structural constituent of postsynapse (GO:0099186)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
ganglioside GT1b binding (GO:1905576)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
flavin-linked sulfhydryl oxidase activity (GO:0016971)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ganglioside GM3 binding (GO:1905575)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty-acyl-CoA synthase activity (GO:0004321)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ganglioside GM2 binding (GO:1905574)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oleoyl-[acyl-carrier-protein] hydrolase activity (GO:0004320)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ganglioside GM1 binding (GO:1905573)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ceramide-1-phosphate phosphatase activity (GO:0106235)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
poly-ADP-D-ribose binding (GO:0072572)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein-propionyllysine depropionylase activity (GO:0106231)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
P-type divalent copper transporter activity (GO:0043682)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ADP-D-ribose binding (GO:0072570)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III activity (GO:0001056)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II activity (GO:0001055)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I activity (GO:0001054)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
carboxylic acid transmembrane transporter activity (GO:0046943)	64	0	.55	-	 < 0.01	1.00E00	1.00E00
L-cysteine desulfhydrase activity (GO:0080146)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
carbohydrate:cation symporter activity (GO:0005402)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
3-hydroxypalmitoyl-[acyl-carrier-protein] dehydratase activity (GO:0004317)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity (GO:0004316)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ribonuclease P RNA binding (GO:0033204)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism (GO:0044769)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
3-oxoacyl-[acyl-carrier-protein] synthase activity (GO:0004315)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-2 macroglobulin receptor activity (GO:0016964)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
[acyl-carrier-protein] S-malonyltransferase activity (GO:0004314)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
[acyl-carrier-protein] S-acetyltransferase activity (GO:0004313)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
fatty acid synthase activity (GO:0004312)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
histone glutaryltransferase activity (GO:0106229)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
farnesyltranstransferase activity (GO:0004311)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
peptide glutaryltransferase activity (GO:0106228)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
farnesyl-diphosphate farnesyltransferase activity (GO:0004310)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UTP binding (GO:0002134)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid transfer activity (GO:1990050)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
core promoter sequence-specific DNA binding (GO:0001046)	27	0	.23	-	 < 0.01	1.00E00	1.00E00
RNA polymerase I core binding (GO:0001042)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
2'-deoxyadenosine deaminase activity (GO:0046936)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
1-phosphatidylinositol-3-kinase regulator activity (GO:0046935)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate 3-kinase activity (GO:0046934)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase activity, rotational mechanism (GO:0046933)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
exo-alpha-sialidase activity (GO:0004308)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ethanolaminephosphotransferase activity (GO:0004307)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ethanolamine kinase activity (GO:0004305)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
estradiol 17-beta-dehydrogenase activity (GO:0004303)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
ornithine(lysine) transaminase activity (GO:0050155)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
enoyl-CoA hydratase activity (GO:0004300)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
troponin I binding (GO:0031013)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lipid phosphatase activity (GO:0042577)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
ER retention sequence binding (GO:0046923)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel activity involved in ventricular cardiac muscle cell action potential repolarization (GO:1902282)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide-O-fucosyltransferase activity (GO:0046922)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alpha-(1->3)-fucosyltransferase activity (GO:0046920)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
AMP transmembrane transporter activity (GO:0080122)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
alpha-glucosidase activity (GO:0090599)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nucleoside monophosphate kinase activity (GO:0050145)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
natriuretic peptide receptor activity (GO:0016941)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
filamin binding (GO:0031005)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein phosphatase activator activity (GO:0072542)	10	0	.09	-	 < 0.01	1.00E00	1.00E00
interleukin-33 receptor activity (GO:0002114)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III general transcription initiation factor binding (GO:0001025)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hormone binding (GO:0042562)	30	0	.26	-	 < 0.01	1.00E00	1.00E00
transition metal ion transmembrane transporter activity (GO:0046915)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
Fc-gamma receptor I complex binding (GO:0034988)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
acyltransferase, acyl groups converted into alkyl on transfer (GO:0046912)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
D3 vitamins binding (GO:1902271)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
immunoglobulin receptor binding (GO:0034987)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
iron chaperone activity (GO:0034986)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
short-branched-chain-acyl-CoA dehydrogenase activity (GO:0016937)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
galactoside binding (GO:0016936)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
polysome binding (GO:1905538)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase (quinone) activity (GO:0050136)	13	0	.11	-	 < 0.01	1.00E00	1.00E00
NAD(P)+ nucleosidase activity (GO:0050135)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
protein-glutaryllysine deglutarylase activity (GO:0061697)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial promoter sequence-specific DNA binding (GO:0001018)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III transcription regulatory region sequence-specific DNA binding (GO:0001016)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
tetrapyrrole binding (GO:0046906)	29	0	.25	-	 < 0.01	1.00E00	1.00E00
phosphoprotein binding (GO:0051219)	42	0	.36	-	 < 0.01	1.00E00	1.00E00
NAD-dependent protein deacetylase activity (GO:0034979)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
SUMO-specific protease activity (GO:0016929)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
phosphatidyl-N-dimethylethanolamine N-methyltransferase activity (GO:0080101)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-sulfoglucosamine-3-sulfatase activity (GO:0033889)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear receptor binding (GO:0016922)	74	0	.64	-	 < 0.01	1.00E00	1.00E00
transferrin receptor activity (GO:0004998)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
pyroglutamyl-peptidase activity (GO:0016920)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyridoxal phosphatase activity (GO:0033883)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
choloyl-CoA hydrolase activity (GO:0033882)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acylglucosamine 2-epimerase activity (GO:0050121)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
somatostatin receptor activity (GO:0004994)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
platelet activating factor receptor activity (GO:0004992)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
heterotrimeric G-protein binding (GO:0032795)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
parathyroid hormone receptor activity (GO:0004991)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GTPase activating protein binding (GO:0032794)	9	0	.08	-	 < 0.01	1.00E00	1.00E00
lead ion binding (GO:0032791)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 3 promoter sequence-specific DNA binding (GO:0001006)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ATPase regulator activity (GO:0060590)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 2 promoter sequence-specific DNA binding (GO:0001003)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA polymerase III type 1 promoter sequence-specific DNA binding (GO:0001002)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
vascular endothelial growth factor binding (GO:0038085)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
retinal binding (GO:0016918)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
N-acetylglucosamine deacetylase activity (GO:0050119)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
hormone-sensitive lipase activity (GO:0033878)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
8-oxo-GDP phosphatase activity (GO:0044716)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin-light-chain-phosphatase activity (GO:0050115)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
8-oxo-dGDP phosphatase activity (GO:0044715)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
double-stranded methylated DNA binding (GO:0010385)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Rho-dependent protein serine/threonine kinase activity (GO:0072518)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
importin-alpha family protein binding (GO:0061676)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II C-terminal domain binding (GO:0099122)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
DNA-directed 5'-3' RNA polymerase activity (GO:0003899)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
2-(3-amino-3-carboxypropyl)histidine synthase activity (GO:0090560)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA primase activity (GO:0003896)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
beta-3 adrenergic receptor binding (GO:0031699)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inosine-diphosphatase activity (GO:1990003)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-2 adrenergic receptor binding (GO:0031698)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
catalytic activity, acting on RNA (GO:0140098)	216	0	1.87	-	 < 0.01	2.64E-01	1.00E00
beta-1 adrenergic receptor binding (GO:0031697)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein self-association (GO:0043621)	22	0	.19	-	 < 0.01	1.00E00	1.00E00
rRNA (cytosine-N4-)-methyltransferase activity (GO:0071424)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-2A adrenergic receptor binding (GO:0031694)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3'-flap-structured DNA binding (GO:0070337)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alpha-1B adrenergic receptor binding (GO:0031692)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
flap-structured DNA binding (GO:0070336)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
alpha-1A adrenergic receptor binding (GO:0031691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartate binding (GO:0070335)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adrenergic receptor binding (GO:0031690)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
membrane curvature sensor activity (GO:0140090)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
5S rRNA binding (GO:0008097)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors (GO:0016903)	21	0	.18	-	 < 0.01	1.00E00	1.00E00
Fas-activated serine/threonine kinase activity (GO:0033867)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor (GO:0016901)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP-dependent activity, acting on DNA (GO:0008094)	60	0	.52	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine floppase activity (GO:0090556)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
cytoskeletal anchor activity (GO:0008093)	11	0	.10	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine flippase activity (GO:0090555)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cytoskeletal protein binding (GO:0008092)	387	0	3.35	-	 < 0.01	7.80E-02	1.00E00
UFM1 ligase activity (GO:0061666)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine floppase activity (GO:0090554)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA binding (GO:1905502)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
SUMO ligase activity (GO:0061665)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
NEDD8 ligase activity (GO:0061663)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
AMPA glutamate receptor activity (GO:0004971)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA (cytosine-5-)-methyltransferase activity (GO:0003886)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ionotropic glutamate receptor activity (GO:0004970)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
D-amino-acid oxidase activity (GO:0003884)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CTP synthase activity (GO:0003883)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
A1 adenosine receptor binding (GO:0031686)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
adenosine receptor binding (GO:0031685)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity (GO:0003881)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein C-terminal carboxyl O-methyltransferase activity (GO:0003880)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G-protein beta/gamma-subunit complex binding (GO:0031683)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle receptor binding (GO:0070326)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
G-protein beta-subunit binding (GO:0031681)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle receptor binding (GO:0070325)	15	0	.13	-	 < 0.01	1.00E00	1.00E00
glycosylated region protein binding (GO:0140081)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thyroid hormone binding (GO:0070324)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor activity (GO:0030594)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
inward rectifier potassium channel inhibitor activity (GO:0070320)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
collagen receptor activity (GO:0038064)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase collagen receptor activity (GO:0038062)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine kinase activity (GO:0033858)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
diphosphoinositol-pentakisphosphate kinase activity (GO:0033857)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
histamine receptor activity (GO:0004969)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ion channel regulator activity (GO:0099106)	42	0	.36	-	 < 0.01	1.00E00	1.00E00
glucagon receptor activity (GO:0004967)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
growth factor activity (GO:0008083)	25	0	.22	-	 < 0.01	1.00E00	1.00E00
copper-dependent protein binding (GO:0032767)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
N-acetyltransferase activity (GO:0008080)	39	0	.34	-	 < 0.01	1.00E00	1.00E00
NEDD8 conjugating enzyme activity (GO:0061654)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ATP citrate synthase activity (GO:0003878)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MIT domain binding (GO:0090541)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
AMP deaminase activity (GO:0003876)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ADP-ribosylarginine hydrolase activity (GO:0003875)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	20	0	.17	-	 < 0.01	1.00E00	1.00E00
class I DNA-(apurinic or apyrimidinic site) endonuclease activity (GO:0140078)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
6-pyruvoyltetrahydropterin synthase activity (GO:0003874)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
6-phosphofructo-2-kinase activity (GO:0003873)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
6-phosphofructokinase activity (GO:0003872)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
5-aminolevulinate synthase activity (GO:0003870)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication (GO:0086083)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
protein binding involved in heterotypic cell-cell adhesion (GO:0086080)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
quinone cofactor methyltransferase activity (GO:0030580)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pseudophosphatase activity (GO:0001691)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
translation termination factor activity (GO:0008079)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ubiquitin modification-dependent histone binding (GO:0061649)	3	0	.03	-	 < 0.01	1.00E00	1.00E00
ornithine decarboxylase inhibitor activity (GO:0008073)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
4-hydroxyphenylpyruvate dioxygenase activity (GO:0003868)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chemokine receptor activity (GO:0004950)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
palmitoleoyltransferase activity (GO:1990698)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3-oxo-5-alpha-steroid 4-dehydrogenase activity (GO:0003865)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity (GO:0003863)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
3-hydroxyisobutyryl-CoA hydrolase activity (GO:0003860)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aspartic endopeptidase activity, intramembrane cleaving (GO:0042500)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
phosphatidyltransferase activity (GO:0030572)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid binding (GO:0070300)	8	0	.07	-	 < 0.01	1.00E00	1.00E00
sialate O-acetylesterase activity (GO:0001681)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamate receptor activity (GO:0008066)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
