




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	9_Liver_Hyperphagia_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	9_Liver_Hyperphagia_SpecificSwitches.txt (54)	9_Liver_Hyperphagia_SpecificSwitches.txt (expected)	9_Liver_Hyperphagia_SpecificSwitches.txt (over/under)	9_Liver_Hyperphagia_SpecificSwitches.txt (fold Enrichment)	9_Liver_Hyperphagia_SpecificSwitches.txt (raw P-value)	9_Liver_Hyperphagia_SpecificSwitches.txt (FDR)
negative regulation of nuclear division (GO:0051784)	13	1	.11	+	8.88	1.14E-01	1.00E00
positive regulation of type I interferon production (GO:0032481)	26	2	.23	+	8.88	2.37E-02	1.00E00
intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress (GO:0070059)	13	1	.11	+	8.88	1.14E-01	1.00E00
regulation of long-term synaptic potentiation (GO:1900271)	13	1	.11	+	8.88	1.14E-01	1.00E00
purine ribonucleotide catabolic process (GO:0009154)	13	1	.11	+	8.88	1.14E-01	1.00E00
pteridine-containing compound metabolic process (GO:0042558)	13	1	.11	+	8.88	1.14E-01	1.00E00
translesion synthesis (GO:0019985)	13	1	.11	+	8.88	1.14E-01	1.00E00
receptor localization to synapse (GO:0097120)	13	1	.11	+	8.88	1.14E-01	1.00E00
retrograde vesicle-mediated transport, Golgi to endoplasmic reticulum (GO:0006890)	27	2	.23	+	8.55	2.54E-02	1.00E00
inner ear receptor cell development (GO:0060119)	14	1	.12	+	8.24	1.22E-01	1.00E00
positive regulation of interferon-gamma production (GO:0032729)	14	1	.12	+	8.24	1.22E-01	1.00E00
regulation of interferon-beta production (GO:0032648)	28	2	.24	+	8.24	2.70E-02	1.00E00
glycosyl compound catabolic process (GO:1901658)	14	1	.12	+	8.24	1.22E-01	1.00E00
presynaptic endocytosis (GO:0140238)	14	1	.12	+	8.24	1.22E-01	1.00E00
peptidyl-proline modification (GO:0018208)	28	2	.24	+	8.24	2.70E-02	1.00E00
purine nucleotide catabolic process (GO:0006195)	14	1	.12	+	8.24	1.22E-01	1.00E00
regulation of DNA damage checkpoint (GO:2000001)	14	1	.12	+	8.24	1.22E-01	1.00E00
positive chemotaxis (GO:0050918)	14	1	.12	+	8.24	1.22E-01	1.00E00
spleen development (GO:0048536)	14	1	.12	+	8.24	1.22E-01	1.00E00
lipopolysaccharide-mediated signaling pathway (GO:0031663)	14	1	.12	+	8.24	1.22E-01	1.00E00
synaptic vesicle endocytosis (GO:0048488)	14	1	.12	+	8.24	1.22E-01	1.00E00
entrainment of circadian clock (GO:0009649)	14	1	.12	+	8.24	1.22E-01	1.00E00
response to increased oxygen levels (GO:0036296)	14	1	.12	+	8.24	1.22E-01	1.00E00
autophagosome assembly (GO:0000045)	42	3	.36	+	8.24	6.59E-03	1.00E00
entrainment of circadian clock by photoperiod (GO:0043153)	14	1	.12	+	8.24	1.22E-01	1.00E00
protein localization to synapse (GO:0035418)	14	1	.12	+	8.24	1.22E-01	1.00E00
ribonucleoside metabolic process (GO:0009119)	14	1	.12	+	8.24	1.22E-01	1.00E00
positive regulation of response to cytokine stimulus (GO:0060760)	29	2	.25	+	7.96	2.87E-02	1.00E00
phagocytosis, engulfment (GO:0006911)	15	1	.13	+	7.69	1.29E-01	1.00E00
protein localization to Golgi apparatus (GO:0034067)	15	1	.13	+	7.69	1.29E-01	1.00E00
stress granule assembly (GO:0034063)	15	1	.13	+	7.69	1.29E-01	1.00E00
positive regulation of interleukin-8 production (GO:0032757)	15	1	.13	+	7.69	1.29E-01	1.00E00
musculoskeletal movement (GO:0050881)	15	1	.13	+	7.69	1.29E-01	1.00E00
multicellular organismal movement (GO:0050879)	15	1	.13	+	7.69	1.29E-01	1.00E00
photoperiodism (GO:0009648)	15	1	.13	+	7.69	1.29E-01	1.00E00
autophagosome organization (GO:1905037)	45	3	.39	+	7.69	7.89E-03	1.00E00
ribonucleotide catabolic process (GO:0009261)	15	1	.13	+	7.69	1.29E-01	1.00E00
pyrimidine ribonucleotide metabolic process (GO:0009218)	15	1	.13	+	7.69	1.29E-01	1.00E00
regulation of cardiac muscle tissue growth (GO:0055021)	15	1	.13	+	7.69	1.29E-01	1.00E00
synaptic vesicle exocytosis (GO:0016079)	15	1	.13	+	7.69	1.29E-01	1.00E00
glycerophospholipid catabolic process (GO:0046475)	15	1	.13	+	7.69	1.29E-01	1.00E00
neural tube closure (GO:0001843)	47	3	.41	+	7.37	8.84E-03	1.00E00
tube closure (GO:0060606)	47	3	.41	+	7.37	8.84E-03	1.00E00
multicellular organismal response to stress (GO:0033555)	16	1	.14	+	7.21	1.37E-01	1.00E00
establishment or maintenance of epithelial cell apical/basal polarity (GO:0045197)	16	1	.14	+	7.21	1.37E-01	1.00E00
pyrimidine nucleotide biosynthetic process (GO:0006221)	16	1	.14	+	7.21	1.37E-01	1.00E00
embryonic cranial skeleton morphogenesis (GO:0048701)	16	1	.14	+	7.21	1.37E-01	1.00E00
synaptic vesicle recycling (GO:0036465)	16	1	.14	+	7.21	1.37E-01	1.00E00
plasma membrane invagination (GO:0099024)	16	1	.14	+	7.21	1.37E-01	1.00E00
negative regulation of small GTPase mediated signal transduction (GO:0051058)	32	2	.28	+	7.21	3.41E-02	1.00E00
regulation of mitochondrial translation (GO:0070129)	16	1	.14	+	7.21	1.37E-01	1.00E00
sulfur amino acid metabolic process (GO:0000096)	16	1	.14	+	7.21	1.37E-01	1.00E00
receptor clustering (GO:0043113)	16	1	.14	+	7.21	1.37E-01	1.00E00
cellular metabolic compound salvage (GO:0043094)	16	1	.14	+	7.21	1.37E-01	1.00E00
embryonic camera-type eye development (GO:0031076)	16	1	.14	+	7.21	1.37E-01	1.00E00
snRNA processing (GO:0016180)	16	1	.14	+	7.21	1.37E-01	1.00E00
response to type I interferon (GO:0034340)	16	1	.14	+	7.21	1.37E-01	1.00E00
primary neural tube formation (GO:0014020)	50	3	.43	+	6.92	1.04E-02	1.00E00
NIK/NF-kappaB signaling (GO:0038061)	17	1	.15	+	6.79	1.44E-01	1.00E00
intermediate filament cytoskeleton organization (GO:0045104)	17	1	.15	+	6.79	1.44E-01	1.00E00
intermediate filament-based process (GO:0045103)	17	1	.15	+	6.79	1.44E-01	1.00E00
negative regulation of viral genome replication (GO:0045071)	17	1	.15	+	6.79	1.44E-01	1.00E00
peptidyl-lysine trimethylation (GO:0018023)	17	1	.15	+	6.79	1.44E-01	1.00E00
DNA synthesis involved in DNA repair (GO:0000731)	17	1	.15	+	6.79	1.44E-01	1.00E00
nucleobase metabolic process (GO:0009112)	17	1	.15	+	6.79	1.44E-01	1.00E00
negative regulation of exocytosis (GO:0045920)	17	1	.15	+	6.79	1.44E-01	1.00E00
purine-containing compound catabolic process (GO:0072523)	17	1	.15	+	6.79	1.44E-01	1.00E00
ADP metabolic process (GO:0046031)	18	1	.16	+	6.41	1.51E-01	1.00E00
inner ear receptor cell differentiation (GO:0060113)	18	1	.16	+	6.41	1.51E-01	1.00E00
morphogenesis of an epithelial sheet (GO:0002011)	18	1	.16	+	6.41	1.51E-01	1.00E00
cellular pigmentation (GO:0033059)	18	1	.16	+	6.41	1.51E-01	1.00E00
histone H3-K4 methylation (GO:0051568)	18	1	.16	+	6.41	1.51E-01	1.00E00
regulation of defense response to virus by host (GO:0050691)	18	1	.16	+	6.41	1.51E-01	1.00E00
G2/M transition of mitotic cell cycle (GO:0000086)	18	1	.16	+	6.41	1.51E-01	1.00E00
monoubiquitinated histone H2A deubiquitination (GO:0035522)	18	1	.16	+	6.41	1.51E-01	1.00E00
monoubiquitinated histone deubiquitination (GO:0035521)	18	1	.16	+	6.41	1.51E-01	1.00E00
regulation of mitochondrial gene expression (GO:0062125)	18	1	.16	+	6.41	1.51E-01	1.00E00
mechanoreceptor differentiation (GO:0042490)	18	1	.16	+	6.41	1.51E-01	1.00E00
pyrimidine-containing compound metabolic process (GO:0072527)	36	2	.31	+	6.41	4.18E-02	1.00E00
neural tube formation (GO:0001841)	54	3	.47	+	6.41	1.26E-02	1.00E00
embryonic epithelial tube formation (GO:0001838)	56	3	.49	+	6.18	1.39E-02	1.00E00
organelle fusion (GO:0048284)	56	3	.49	+	6.18	1.39E-02	1.00E00
mammary gland morphogenesis (GO:0060443)	19	1	.16	+	6.07	1.59E-01	1.00E00
regulation of heart growth (GO:0060420)	19	1	.16	+	6.07	1.59E-01	1.00E00
neurotransmitter secretion (GO:0007269)	19	1	.16	+	6.07	1.59E-01	1.00E00
cell cycle G2/M phase transition (GO:0044839)	19	1	.16	+	6.07	1.59E-01	1.00E00
positive regulation of DNA-templated transcription, elongation (GO:0032786)	19	1	.16	+	6.07	1.59E-01	1.00E00
protein O-linked glycosylation (GO:0006493)	38	2	.33	+	6.07	4.59E-02	1.00E00
positive regulation of chemokine production (GO:0032722)	19	1	.16	+	6.07	1.59E-01	1.00E00
mRNA polyadenylation (GO:0006378)	19	1	.16	+	6.07	1.59E-01	1.00E00
DNA methylation (GO:0006306)	19	1	.16	+	6.07	1.59E-01	1.00E00
DNA alkylation (GO:0006305)	19	1	.16	+	6.07	1.59E-01	1.00E00
postreplication repair (GO:0006301)	19	1	.16	+	6.07	1.59E-01	1.00E00
transcription preinitiation complex assembly (GO:0070897)	19	1	.16	+	6.07	1.59E-01	1.00E00
signal release from synapse (GO:0099643)	19	1	.16	+	6.07	1.59E-01	1.00E00
amino sugar metabolic process (GO:0006040)	19	1	.16	+	6.07	1.59E-01	1.00E00
negative regulation of smooth muscle cell proliferation (GO:0048662)	19	1	.16	+	6.07	1.59E-01	1.00E00
RNA polyadenylation (GO:0043631)	19	1	.16	+	6.07	1.59E-01	1.00E00
regulation of mRNA 3'-end processing (GO:0031440)	19	1	.16	+	6.07	1.59E-01	1.00E00
negative regulation of macroautophagy (GO:0016242)	19	1	.16	+	6.07	1.59E-01	1.00E00
positive regulation of protein import into nucleus (GO:0042307)	19	1	.16	+	6.07	1.59E-01	1.00E00
establishment or maintenance of apical/basal cell polarity (GO:0035088)	19	1	.16	+	6.07	1.59E-01	1.00E00
positive regulation of Ras protein signal transduction (GO:0046579)	19	1	.16	+	6.07	1.59E-01	1.00E00
establishment or maintenance of bipolar cell polarity (GO:0061245)	19	1	.16	+	6.07	1.59E-01	1.00E00
positive regulation of cytokine production involved in immune response (GO:0002720)	19	1	.16	+	6.07	1.59E-01	1.00E00
pyrimidine-containing compound biosynthetic process (GO:0072528)	19	1	.16	+	6.07	1.59E-01	1.00E00
regulation of interleukin-12 production (GO:0032655)	20	1	.17	+	5.77	1.66E-01	1.00E00
exocytic process (GO:0140029)	20	1	.17	+	5.77	1.66E-01	1.00E00
regulation of vascular associated smooth muscle cell proliferation (GO:1904705)	20	1	.17	+	5.77	1.66E-01	1.00E00
energy homeostasis (GO:0097009)	20	1	.17	+	5.77	1.66E-01	1.00E00
epithelial tube formation (GO:0072175)	60	3	.52	+	5.77	1.66E-02	1.00E00
vacuole organization (GO:0007033)	81	4	.70	+	5.70	5.89E-03	1.00E00
morphogenesis of embryonic epithelium (GO:0016331)	61	3	.53	+	5.68	1.73E-02	1.00E00
carbohydrate derivative catabolic process (GO:1901136)	62	3	.54	+	5.58	1.80E-02	1.00E00
positive regulation of transcription initiation from RNA polymerase II promoter (GO:0060261)	21	1	.18	+	5.50	1.73E-01	1.00E00
cell redox homeostasis (GO:0045454)	21	1	.18	+	5.50	1.73E-01	1.00E00
blastocyst formation (GO:0001825)	21	1	.18	+	5.50	1.73E-01	1.00E00
regulation of cell cycle checkpoint (GO:1901976)	21	1	.18	+	5.50	1.73E-01	1.00E00
regulation of receptor internalization (GO:0002090)	21	1	.18	+	5.50	1.73E-01	1.00E00
negative regulation of organelle assembly (GO:1902116)	21	1	.18	+	5.50	1.73E-01	1.00E00
embryonic skeletal system morphogenesis (GO:0048704)	21	1	.18	+	5.50	1.73E-01	1.00E00
post-translational protein modification (GO:0043687)	21	1	.18	+	5.50	1.73E-01	1.00E00
positive regulation of muscle cell differentiation (GO:0051149)	21	1	.18	+	5.50	1.73E-01	1.00E00
positive regulation of protein import (GO:1904591)	21	1	.18	+	5.50	1.73E-01	1.00E00
ribonucleoside monophosphate biosynthetic process (GO:0009156)	21	1	.18	+	5.50	1.73E-01	1.00E00
regulation of muscle cell apoptotic process (GO:0010660)	21	1	.18	+	5.50	1.73E-01	1.00E00
regulation of myeloid leukocyte mediated immunity (GO:0002886)	21	1	.18	+	5.50	1.73E-01	1.00E00
mammary gland epithelium development (GO:0061180)	21	1	.18	+	5.50	1.73E-01	1.00E00
primary alcohol metabolic process (GO:0034308)	21	1	.18	+	5.50	1.73E-01	1.00E00
membrane invagination (GO:0010324)	21	1	.18	+	5.50	1.73E-01	1.00E00
mitochondrial gene expression (GO:0140053)	43	2	.37	+	5.37	5.67E-02	1.00E00
response to interleukin-1 (GO:0070555)	43	2	.37	+	5.37	5.67E-02	1.00E00
tube formation (GO:0035148)	65	3	.56	+	5.33	2.03E-02	1.00E00
vesicle targeting (GO:0006903)	22	1	.19	+	5.25	1.80E-01	1.00E00
toll-like receptor signaling pathway (GO:0002224)	22	1	.19	+	5.25	1.80E-01	1.00E00
vacuolar localization (GO:1990849)	22	1	.19	+	5.25	1.80E-01	1.00E00
DNA-templated transcription, initiation (GO:0006352)	44	2	.38	+	5.25	5.90E-02	1.00E00
lysosome localization (GO:0032418)	22	1	.19	+	5.25	1.80E-01	1.00E00
protein peptidyl-prolyl isomerization (GO:0000413)	22	1	.19	+	5.25	1.80E-01	1.00E00
establishment of protein localization to plasma membrane (GO:0061951)	22	1	.19	+	5.25	1.80E-01	1.00E00
phospholipid catabolic process (GO:0009395)	22	1	.19	+	5.25	1.80E-01	1.00E00
mRNA transcription by RNA polymerase II (GO:0042789)	22	1	.19	+	5.25	1.80E-01	1.00E00
lysosomal transport (GO:0007041)	68	3	.59	+	5.09	2.27E-02	1.00E00
intra-Golgi vesicle-mediated transport (GO:0006891)	23	1	.20	+	5.02	1.87E-01	1.00E00
positive regulation of small GTPase mediated signal transduction (GO:0051057)	23	1	.20	+	5.02	1.87E-01	1.00E00
monoubiquitinated protein deubiquitination (GO:0035520)	23	1	.20	+	5.02	1.87E-01	1.00E00
inner ear morphogenesis (GO:0042472)	23	1	.20	+	5.02	1.87E-01	1.00E00
snRNA metabolic process (GO:0016073)	23	1	.20	+	5.02	1.87E-01	1.00E00
neural tube development (GO:0021915)	69	3	.60	+	5.02	2.36E-02	1.00E00
organelle disassembly (GO:1903008)	47	2	.41	+	4.91	6.59E-02	1.00E00
organelle membrane fusion (GO:0090174)	47	2	.41	+	4.91	6.59E-02	1.00E00
negative regulation of autophagy (GO:0010507)	47	2	.41	+	4.91	6.59E-02	1.00E00
ER-nucleus signaling pathway (GO:0006984)	24	1	.21	+	4.81	1.94E-01	1.00E00
spinal cord development (GO:0021510)	24	1	.21	+	4.81	1.94E-01	1.00E00
response to vitamin (GO:0033273)	24	1	.21	+	4.81	1.94E-01	1.00E00
regulation of interferon-gamma production (GO:0032649)	24	1	.21	+	4.81	1.94E-01	1.00E00
cellular senescence (GO:0090398)	24	1	.21	+	4.81	1.94E-01	1.00E00
regulation of type I interferon production (GO:0032479)	48	2	.42	+	4.81	6.83E-02	1.00E00
positive regulation of DNA-templated transcription, initiation (GO:2000144)	24	1	.21	+	4.81	1.94E-01	1.00E00
purine ribonucleoside diphosphate metabolic process (GO:0009179)	24	1	.21	+	4.81	1.94E-01	1.00E00
purine nucleoside diphosphate metabolic process (GO:0009135)	24	1	.21	+	4.81	1.94E-01	1.00E00
execution phase of apoptosis (GO:0097194)	24	1	.21	+	4.81	1.94E-01	1.00E00
regulation of glucose import (GO:0046324)	24	1	.21	+	4.81	1.94E-01	1.00E00
regulation of cytokine production involved in immune response (GO:0002718)	24	1	.21	+	4.81	1.94E-01	1.00E00
mitotic G2/M transition checkpoint (GO:0044818)	25	1	.22	+	4.62	2.01E-01	1.00E00
DNA methylation or demethylation (GO:0044728)	25	1	.22	+	4.62	2.01E-01	1.00E00
regulation of chemokine production (GO:0032642)	25	1	.22	+	4.62	2.01E-01	1.00E00
positive regulation of innate immune response (GO:0045089)	50	2	.43	+	4.62	7.31E-02	1.00E00
dorsal/ventral pattern formation (GO:0009953)	25	1	.22	+	4.62	2.01E-01	1.00E00
cranial skeletal system development (GO:1904888)	25	1	.22	+	4.62	2.01E-01	1.00E00
histone deubiquitination (GO:0016578)	25	1	.22	+	4.62	2.01E-01	1.00E00
regulation of circadian rhythm (GO:0042752)	50	2	.43	+	4.62	7.31E-02	1.00E00
glycerolipid catabolic process (GO:0046503)	25	1	.22	+	4.62	2.01E-01	1.00E00
macroautophagy (GO:0016236)	101	4	.88	+	4.57	1.23E-02	1.00E00
defense response to symbiont (GO:0140546)	77	3	.67	+	4.50	3.09E-02	1.00E00
defense response to virus (GO:0051607)	77	3	.67	+	4.50	3.09E-02	1.00E00
regulation of transcription initiation from RNA polymerase II promoter (GO:0060260)	26	1	.23	+	4.44	2.08E-01	1.00E00
protein targeting to mitochondrion (GO:0006626)	26	1	.23	+	4.44	2.08E-01	1.00E00
demethylation (GO:0070988)	26	1	.23	+	4.44	2.08E-01	1.00E00
regulation of interleukin-8 production (GO:0032677)	26	1	.23	+	4.44	2.08E-01	1.00E00
pyrimidine nucleotide metabolic process (GO:0006220)	26	1	.23	+	4.44	2.08E-01	1.00E00
mitochondrion localization (GO:0051646)	26	1	.23	+	4.44	2.08E-01	1.00E00
protein homotetramerization (GO:0051289)	26	1	.23	+	4.44	2.08E-01	1.00E00
mRNA transcription (GO:0009299)	26	1	.23	+	4.44	2.08E-01	1.00E00
nucleotide catabolic process (GO:0009166)	26	1	.23	+	4.44	2.08E-01	1.00E00
nucleoside monophosphate biosynthetic process (GO:0009124)	26	1	.23	+	4.44	2.08E-01	1.00E00
regulation of autophagosome assembly (GO:2000785)	27	1	.23	+	4.27	2.15E-01	1.00E00
activation of innate immune response (GO:0002218)	27	1	.23	+	4.27	2.15E-01	1.00E00
nucleoside metabolic process (GO:0009116)	27	1	.23	+	4.27	2.15E-01	1.00E00
autophagosome maturation (GO:0097352)	27	1	.23	+	4.27	2.15E-01	1.00E00
negative regulation of Ras protein signal transduction (GO:0046580)	27	1	.23	+	4.27	2.15E-01	1.00E00
negative regulation of T cell proliferation (GO:0042130)	27	1	.23	+	4.27	2.15E-01	1.00E00
smoothened signaling pathway (GO:0007224)	28	1	.24	+	4.12	2.22E-01	1.00E00
neural nucleus development (GO:0048857)	28	1	.24	+	4.12	2.22E-01	1.00E00
autophagy of mitochondrion (GO:0000422)	28	1	.24	+	4.12	2.22E-01	1.00E00
mitochondrion disassembly (GO:0061726)	28	1	.24	+	4.12	2.22E-01	1.00E00
ribonucleoside diphosphate metabolic process (GO:0009185)	28	1	.24	+	4.12	2.22E-01	1.00E00
aspartate family amino acid metabolic process (GO:0009066)	28	1	.24	+	4.12	2.22E-01	1.00E00
regulation of organ growth (GO:0046620)	28	1	.24	+	4.12	2.22E-01	1.00E00
endosome to lysosome transport (GO:0008333)	28	1	.24	+	4.12	2.22E-01	1.00E00
vacuolar transport (GO:0007034)	85	3	.74	+	4.07	3.94E-02	1.00E00
synaptic signaling (GO:0099536)	86	3	.75	+	4.03	4.05E-02	1.00E00
response to unfolded protein (GO:0006986)	58	2	.50	+	3.98	9.35E-02	1.00E00
protein localization to cell junction (GO:1902414)	29	1	.25	+	3.98	2.29E-01	1.00E00
negative regulation of viral process (GO:0048525)	29	1	.25	+	3.98	2.29E-01	1.00E00
embryonic digit morphogenesis (GO:0042733)	29	1	.25	+	3.98	2.29E-01	1.00E00
intracellular steroid hormone receptor signaling pathway (GO:0030518)	29	1	.25	+	3.98	2.29E-01	1.00E00
ear morphogenesis (GO:0042471)	29	1	.25	+	3.98	2.29E-01	1.00E00
regulation of smoothened signaling pathway (GO:0008589)	29	1	.25	+	3.98	2.29E-01	1.00E00
response to virus (GO:0009615)	117	4	1.01	+	3.95	1.97E-02	1.00E00
protein homooligomerization (GO:0051260)	59	2	.51	+	3.91	9.62E-02	1.00E00
regulated exocytosis (GO:0045055)	30	1	.26	+	3.85	2.35E-01	1.00E00
heterochromatin organization (GO:0070828)	30	1	.26	+	3.85	2.35E-01	1.00E00
regulation of DNA-templated transcription, initiation (GO:2000142)	30	1	.26	+	3.85	2.35E-01	1.00E00
synaptic vesicle cycle (GO:0099504)	30	1	.26	+	3.85	2.35E-01	1.00E00
embryonic skeletal system development (GO:0048706)	30	1	.26	+	3.85	2.35E-01	1.00E00
nucleoside phosphate catabolic process (GO:1901292)	30	1	.26	+	3.85	2.35E-01	1.00E00
regulation of vacuole organization (GO:0044088)	30	1	.26	+	3.85	2.35E-01	1.00E00
protein localization to cilium (GO:0061512)	30	1	.26	+	3.85	2.35E-01	1.00E00
regulation of protein import into nucleus (GO:0042306)	30	1	.26	+	3.85	2.35E-01	1.00E00
positive regulation of response to biotic stimulus (GO:0002833)	60	2	.52	+	3.85	9.89E-02	1.00E00
establishment of protein localization to mitochondrion (GO:0072655)	30	1	.26	+	3.85	2.35E-01	1.00E00
positive regulation of cytokine production (GO:0001819)	124	4	1.07	+	3.72	2.37E-02	1.00E00
negative regulation of mononuclear cell proliferation (GO:0032945)	31	1	.27	+	3.72	2.42E-01	1.00E00
cellular response to oxygen levels (GO:0071453)	62	2	.54	+	3.72	1.04E-01	1.00E00
cellular response to interleukin-1 (GO:0071347)	31	1	.27	+	3.72	2.42E-01	1.00E00
regulation of viral genome replication (GO:0045069)	31	1	.27	+	3.72	2.42E-01	1.00E00
nucleotide-excision repair (GO:0006289)	31	1	.27	+	3.72	2.42E-01	1.00E00
regulation of intracellular pH (GO:0051453)	31	1	.27	+	3.72	2.42E-01	1.00E00
positive regulation of smooth muscle cell proliferation (GO:0048661)	31	1	.27	+	3.72	2.42E-01	1.00E00
positive regulation of synaptic transmission (GO:0050806)	31	1	.27	+	3.72	2.42E-01	1.00E00
negative regulation of lymphocyte proliferation (GO:0050672)	31	1	.27	+	3.72	2.42E-01	1.00E00
pigmentation (GO:0043473)	31	1	.27	+	3.72	2.42E-01	1.00E00
endoplasmic reticulum unfolded protein response (GO:0030968)	31	1	.27	+	3.72	2.42E-01	1.00E00
mRNA 3'-end processing (GO:0031124)	31	1	.27	+	3.72	2.42E-01	1.00E00
positive regulation of nucleocytoplasmic transport (GO:0046824)	31	1	.27	+	3.72	2.42E-01	1.00E00
cellular biogenic amine metabolic process (GO:0006576)	32	1	.28	+	3.61	2.48E-01	1.00E00
positive regulation of interleukin-6 production (GO:0032755)	32	1	.28	+	3.61	2.48E-01	1.00E00
cellular amine metabolic process (GO:0044106)	32	1	.28	+	3.61	2.48E-01	1.00E00
amine metabolic process (GO:0009308)	32	1	.28	+	3.61	2.48E-01	1.00E00
regulation of protein import (GO:1904589)	32	1	.28	+	3.61	2.48E-01	1.00E00
ribonucleoside monophosphate metabolic process (GO:0009161)	32	1	.28	+	3.61	2.48E-01	1.00E00
regulation of glucose transmembrane transport (GO:0010827)	32	1	.28	+	3.61	2.48E-01	1.00E00
negative regulation of mitotic cell cycle (GO:0045930)	96	3	.83	+	3.61	5.28E-02	1.00E00
positive regulation of production of molecular mediator of immune response (GO:0002702)	32	1	.28	+	3.61	2.48E-01	1.00E00
membrane fusion (GO:0061025)	64	2	.55	+	3.61	1.10E-01	1.00E00
biological process involved in interaction with host (GO:0051701)	65	2	.56	+	3.55	1.13E-01	1.00E00
pattern recognition receptor signaling pathway (GO:0002221)	33	1	.29	+	3.50	2.55E-01	1.00E00
vesicle localization (GO:0051648)	66	2	.57	+	3.50	1.15E-01	1.00E00
endocytic recycling (GO:0032456)	33	1	.29	+	3.50	2.55E-01	1.00E00
negative regulation of leukocyte proliferation (GO:0070664)	33	1	.29	+	3.50	2.55E-01	1.00E00
