




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	7_Liver_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Liver_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Liver_Background_AllMultiIsoGenes.txt - REFLIST (6232)	7_Liver_Active_SpecificSwitches.txt (73)	7_Liver_Active_SpecificSwitches.txt (expected)	7_Liver_Active_SpecificSwitches.txt (over/under)	7_Liver_Active_SpecificSwitches.txt (fold Enrichment)	7_Liver_Active_SpecificSwitches.txt (raw P-value)	7_Liver_Active_SpecificSwitches.txt (FDR)
striated muscle myosin thick filament (GO:0005863)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle thin filament tropomyosin (GO:0005862)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integral component of cytoplasmic side of endoplasmic reticulum membrane (GO:0071458)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
megasporocyte nucleus (GO:0043076)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
caveola neck (GO:0099400)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic stress granule (GO:0010494)	44	0	.52	-	 < 0.01	1.00E00	1.00E00
cortical microtubule cytoskeleton (GO:0030981)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
germ cell nucleus (GO:0043073)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
VCP-NPL4-UFD1 AAA ATPase complex (GO:0034098)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
beta-catenin-TCF7L2 complex (GO:0070369)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
extrinsic component of neuronal dense core vesicle membrane (GO:0098674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
signal recognition particle (GO:0048500)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase complex (NAD+) (GO:0045242)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
RPAP3/R2TP/prefoldin-like complex (GO:1990062)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
sperm principal piece (GO:0097228)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
dihydrolipoyl dehydrogenase complex (GO:0045240)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
sperm annulus (GO:0097227)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
sperm midpiece (GO:0097225)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
sperm connecting piece (GO:0097224)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
muscle myosin complex (GO:0005859)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axonemal dynein complex (GO:0005858)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
nascent polypeptide-associated complex (GO:0005854)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex (GO:0005852)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2B complex (GO:0005851)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2 complex (GO:0005850)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
germ plasm (GO:0060293)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid cycle enzyme complex (GO:0045239)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
lateral cell cortex (GO:0097575)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral part of cell (GO:0097574)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage factor complex (GO:0005849)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage stimulating factor complex (GO:0005848)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage and polyadenylation specificity factor complex (GO:0005847)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
nuclear cap binding complex (GO:0005846)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mRNA cap binding complex (GO:0005845)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
polysome (GO:0005844)	27	0	.32	-	 < 0.01	1.00E00	1.00E00
clathrin complex (GO:0071439)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex (GO:0030964)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
apical distal dendrite (GO:0150014)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
LUBAC complex (GO:0071797)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
spindle matrix (GO:1990047)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alveolar lamellar body (GO:0097208)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
proteasome core complex (GO:0005839)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle (GO:0005838)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
cell cortex region (GO:0099738)	14	0	.16	-	 < 0.01	1.00E00	1.00E00
heterotrimeric G-protein complex (GO:0005834)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
glutamyl-tRNA(Gln) amidotransferase complex (GO:0030956)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chaperonin-containing T-complex (GO:0005832)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
enzyme activator complex (GO:0150005)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
distal dendrite (GO:0150002)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
primary dendrite (GO:0150001)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum tubular network (GO:0071782)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
Ric1-Rgp1 guanyl-nucleotide exchange factor complex (GO:0034066)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
collagen beaded filament (GO:0098647)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Lewy body corona (GO:1990038)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Lewy body core (GO:1990037)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
banded collagen fibril (GO:0098643)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
3M complex (GO:1990393)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
molybdopterin synthase complex (GO:0019008)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
FHF complex (GO:0070695)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA repair complex (GO:1990391)	25	0	.29	-	 < 0.01	1.00E00	1.00E00
kinetochore microtubule (GO:0005828)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
longitudinal sarcoplasmic reticulum (GO:0014801)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
polar microtubule (GO:0005827)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
actomyosin contractile ring (GO:0005826)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
transcription preinitiation complex (GO:0097550)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
exon-exon junction complex (GO:0035145)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
anchored component of plasma membrane (GO:0046658)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
costamere (GO:0043034)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
isoamylase complex (GO:0043033)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cell tip (GO:0051286)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein complex involved in cell-matrix adhesion (GO:0098637)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein complex involved in cell adhesion (GO:0098636)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
mitotic spindle midzone (GO:1990023)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
anchored component of synaptic vesicle membrane (GO:0098993)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle (GO:0098992)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
macropinocytic cup (GO:0070685)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ciliary base (GO:0097546)	15	0	.18	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-endosome membrane contact site (GO:0140284)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
ciliary inversin compartment (GO:0097543)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
aster (GO:0005818)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
ciliary tip (GO:0097542)	26	0	.30	-	 < 0.01	1.00E00	1.00E00
axonemal basal plate (GO:0097541)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anchoring collagen complex (GO:0030934)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site membrane (GO:0034045)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
glucosidase II complex (GO:0017177)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi to plasma membrane transport vesicle (GO:0070319)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
exomer complex (GO:0034044)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GABA-ergic synapse (GO:0098982)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
cholinergic synapse (GO:0098981)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
ATR-ATRIP complex (GO:0070310)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
trans-Golgi network (GO:0005802)	113	0	1.32	-	 < 0.01	6.43E-01	1.00E00
serine-type endopeptidase complex (GO:1905370)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
pentameric IgM immunoglobulin complex (GO:0071756)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
IgM immunoglobulin complex, circulating (GO:0071754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear periphery (GO:0034399)	64	0	.75	-	 < 0.01	1.00E00	1.00E00
IgM immunoglobulin complex (GO:0071753)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
secretory dimeric IgA immunoglobulin complex (GO:0071752)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
secretory IgA immunoglobulin complex (GO:0071751)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dimeric IgA immunoglobulin complex (GO:0071750)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-plasma membrane contact site (GO:0140268)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
tricellular tight junction (GO:0061689)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
spliceosomal tri-snRNP complex (GO:0097526)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
spliceosomal snRNP complex (GO:0097525)	28	0	.33	-	 < 0.01	1.00E00	1.00E00
sperm plasma membrane (GO:0097524)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
COP9 signalosome (GO:0008180)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
BCOR complex (GO:0140261)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endopeptidase complex (GO:1905369)	41	0	.48	-	 < 0.01	1.00E00	1.00E00
peptidase complex (GO:1905368)	56	0	.66	-	 < 0.01	1.00E00	1.00E00
Smc5-Smc6 complex (GO:0030915)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
polymeric IgA immunoglobulin complex (GO:0071749)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
monomeric IgA immunoglobulin complex (GO:0071748)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GTPase complex (GO:1905360)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
IgA immunoglobulin complex, circulating (GO:0071746)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
IgA immunoglobulin complex (GO:0071745)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Pwp2p-containing subcomplex of 90S preribosome (GO:0034388)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
triglyceride-rich plasma lipoprotein particle (GO:0034385)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
terminal web (GO:1990357)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear RNA export factor complex (GO:0042272)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
transporter complex (GO:1990351)	71	0	.83	-	 < 0.01	1.00E00	1.00E00
contractile actin filament bundle (GO:0097517)	33	0	.39	-	 < 0.01	1.00E00	1.00E00
HAUS complex (GO:0070652)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
myosin II filament (GO:0097513)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac myofibril (GO:0097512)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic spindle astral microtubule (GO:0061673)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
eukaryotic 80S initiation complex (GO:0033291)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
eukaryotic 48S preinitiation complex (GO:0033290)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
retromer, cargo-selective complex (GO:0030906)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
retromer, tubulation complex (GO:0030905)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
retromer complex (GO:0030904)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
exoribonuclease complex (GO:1905354)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
PRC1 complex (GO:0035102)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
FACT complex (GO:0035101)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NMDA selective glutamate receptor complex (GO:0017146)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Gemini of coiled bodies (GO:0097504)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease complex (GO:1905347)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic specialization membrane (GO:0098948)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
spindle midzone (GO:0051233)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
spherical high-density lipoprotein particle (GO:0034366)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
discoidal high-density lipoprotein particle (GO:0034365)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle (GO:0034364)	12	0	.14	-	 < 0.01	1.00E00	1.00E00
intrinsic component of presynaptic active zone membrane (GO:0098945)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
intermediate-density lipoprotein particle (GO:0034363)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle (GO:0034362)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle (GO:0034361)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
USH2 complex (GO:1990696)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chylomicron remnant (GO:0034360)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Ire1 complex (GO:1990332)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
translation preinitiation complex (GO:0070993)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
transcription factor TFTC complex (GO:0033276)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
translation initiation complex (GO:0070992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
paranode region of axon (GO:0033270)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic vesicle lumen (GO:0060205)	128	0	1.50	-	 < 0.01	4.06E-01	1.00E00
mature chylomicron (GO:0034359)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
plasma lipoprotein particle (GO:0034358)	17	0	.20	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic membrane (GO:0098936)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
platelet dense tubular network membrane (GO:0031095)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
immunological synapse (GO:0001772)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
platelet dense tubular network (GO:0031094)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule lumen (GO:0031093)	26	0	.30	-	 < 0.01	1.00E00	1.00E00
protein N-acetylglucosaminyltransferase complex (GO:0017122)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule membrane (GO:0031092)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule (GO:0031091)	38	0	.45	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIK complex (GO:0070985)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
internode region of axon (GO:0033269)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CSF1-CSF1R complex (GO:1990682)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase III-beta-TDRD3 complex (GO:0140225)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
procentriole replication complex (GO:0120099)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
zeta DNA polymerase complex (GO:0016035)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
storage vacuole (GO:0000322)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
procentriole (GO:0120098)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CORVET complex (GO:0033263)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
septin collar (GO:0032173)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi transport complex (GO:0017119)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
PAM complex, Tim23 associated import motor (GO:0001405)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
platelet dense granule lumen (GO:0031089)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
platelet dense granule membrane (GO:0031088)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
Atg1/ULK1 kinase complex (GO:1990316)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
lamellar body (GO:0042599)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
BLOC-3 complex (GO:0031085)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
BLOC-2 complex (GO:0031084)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BLOC-1 complex (GO:0031083)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of dense core granule membrane (GO:0098922)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
BLOC complex (GO:0031082)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
nuclear pore outer ring (GO:0031080)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
organellar large ribosomal subunit (GO:0000315)	33	0	.39	-	 < 0.01	1.00E00	1.00E00
rhabdomere (GO:0016028)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Bcl3/NF-kappaB2 complex (GO:0033257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organellar small ribosomal subunit (GO:0000314)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
I-kappaB/NF-kappaB complex (GO:0033256)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
organellar ribosome (GO:0000313)	43	0	.50	-	 < 0.01	1.00E00	1.00E00
Derlin-1 retrotranslocation complex (GO:0036513)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum exit site (GO:0070971)	17	0	.20	-	 < 0.01	1.00E00	1.00E00
adrenomedullin receptor complex (GO:1903143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glutamate-cysteine ligase complex (GO:0017109)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pore complex (GO:0046930)	11	0	.13	-	 < 0.01	1.00E00	1.00E00
zymogen granule membrane (GO:0042589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
zymogen granule (GO:0042588)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
nucleocytoplasmic transport complex (GO:0031074)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
glycogen granule (GO:0042587)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
PCSK9-LDLR complex (GO:1990666)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
U11/U12 snRNP (GO:0034693)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor outer segment (GO:0001750)	22	0	.26	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA synthetase multienzyme complex (GO:0017101)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
cytoplasmic cyclin-dependent protein kinase holoenzyme complex (GO:0000308)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	21	0	.25	-	 < 0.01	1.00E00	1.00E00
SWI/SNF superfamily-type complex (GO:0070603)	59	0	.69	-	 < 0.01	1.00E00	1.00E00
chromaffin granule membrane (GO:0042584)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
chromaffin granule (GO:0042583)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
extrinsic component of vacuolar membrane (GO:0000306)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Derlin-1-VIMP complex (GO:0036502)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
UFD1-NPL4 complex (GO:0036501)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
syntrophin complex (GO:0016013)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sarcoglycan complex (GO:0016012)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
autolysosome (GO:0044754)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
dystroglycan complex (GO:0016011)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
dystrophin-associated glycoprotein complex (GO:0016010)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
amphisome (GO:0044753)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
septin cytoskeleton (GO:0032156)	9	0	.11	-	 < 0.01	1.00E00	1.00E00
cleavage furrow (GO:0032154)	16	0	.19	-	 < 0.01	1.00E00	1.00E00
cell division site (GO:0032153)	28	0	.33	-	 < 0.01	1.00E00	1.00E00
ribonucleoprotein granule (GO:0035770)	126	0	1.48	-	 < 0.01	4.06E-01	1.00E00
integrin alphaX-beta2 complex (GO:0034689)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphaM-beta2 complex (GO:0034688)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphaL-beta2 complex (GO:0034687)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta8 complex (GO:0034686)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta6 complex (GO:0034685)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta5 complex (GO:0034684)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
XY body (GO:0001741)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta3 complex (GO:0034683)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Barr body (GO:0001740)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA polymerase complex (GO:0042575)	13	0	.15	-	 < 0.01	1.00E00	1.00E00
immunoglobulin complex, circulating (GO:0042571)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
MICOS complex (GO:0061617)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
mitotic checkpoint complex (GO:0033597)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TSC1-TSC2 complex (GO:0033596)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TEAD-YAP complex (GO:0140552)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear matrix (GO:0016363)	54	0	.63	-	 < 0.01	1.00E00	1.00E00
host cell (GO:0043657)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
sex chromatin (GO:0001739)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
integrin alpha8-beta1 complex (GO:0034678)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha5-beta1 complex (GO:0034674)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inhibin-betaglycan-ActRII complex (GO:0034673)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
RNA nuclear export complex (GO:0042565)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NLS-dependent protein nuclear import complex (GO:0042564)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
elongator holoenzyme complex (GO:0033588)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
stress fiber (GO:0001725)	33	0	.39	-	 < 0.01	1.00E00	1.00E00
integrin alpha2-beta1 complex (GO:0034666)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dense core granule (GO:0031045)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
Dsl1/NZR complex (GO:0070939)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum chaperone complex (GO:0034663)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
contractile ring (GO:0070938)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
CRD-mediated mRNA stability complex (GO:0070937)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
proximal dendrite (GO:1990635)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
MCM complex (GO:0042555)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
IRE1-RACK1-PP2A complex (GO:1990630)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stereocilium base (GO:0120044)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
catenin complex (GO:0016342)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
stereocilium shaft (GO:0120043)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic density, intracellular component (GO:0099092)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
myelin sheath adaxonal region (GO:0035749)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization, intracellular component (GO:0099091)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
myelin sheath abaxonal region (GO:0035748)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
dense core granule membrane (GO:0032127)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of plasma membrane (GO:0009898)	59	0	.69	-	 < 0.01	1.00E00	1.00E00
GID complex (GO:0034657)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
CHOP-ATF3 complex (GO:1990622)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Elg1 RFC-like complex (GO:0031391)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Ctf18 RFC-like complex (GO:0031390)	4	0	.05	-	 < 0.01	1.00E00	1.00E00
ESCRT-0 complex (GO:0033565)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptonemal structure (GO:0099086)	7	0	.08	-	 < 0.01	1.00E00	1.00E00
SMC loading complex (GO:0032116)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Set1C/COMPASS complex (GO:0048188)	8	0	.09	-	 < 0.01	1.00E00	1.00E00
delta DNA polymerase complex (GO:0043625)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of mitochondrial outer membrane (GO:0032473)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Rad17 RFC-like complex (GO:0031389)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CHOP-ATF4 complex (GO:1990617)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interphase microtubule organizing center (GO:0031021)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear RNA-directed RNA polymerase complex (GO:0031380)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lateral plasma membrane (GO:0016328)	25	0	.29	-	 < 0.01	1.00E00	1.00E00
Slx1-Slx4 complex (GO:0033557)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
apicolateral plasma membrane (GO:0016327)	10	0	.12	-	 < 0.01	1.00E00	1.00E00
Prp19 complex (GO:0000974)	6	0	.07	-	 < 0.01	1.00E00	1.00E00
mitochondrion-derived vesicle (GO:0099073)	3	0	.04	-	 < 0.01	1.00E00	1.00E00
activin receptor complex (GO:0048179)	5	0	.06	-	 < 0.01	1.00E00	1.00E00
