




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
single-stranded DNA helicase activity (GO:0017116)	13	1	.37	+	2.69	3.26E-01	1.00E00
transforming growth factor beta receptor binding (GO:0005160)	13	1	.37	+	2.69	3.26E-01	1.00E00
peptide binding (GO:0042277)	104	8	2.97	+	2.69	1.24E-02	1.00E00
cyclin-dependent protein serine/threonine kinase activity (GO:0004693)	13	1	.37	+	2.69	3.26E-01	1.00E00
prenyltransferase activity (GO:0004659)	13	1	.37	+	2.69	3.26E-01	1.00E00
telomeric DNA binding (GO:0042162)	26	2	.74	+	2.69	1.82E-01	1.00E00
cysteine-type endopeptidase regulator activity involved in apoptotic process (GO:0043028)	13	1	.37	+	2.69	3.26E-01	1.00E00
G protein-coupled receptor activity (GO:0004930)	66	5	1.89	+	2.65	4.68E-02	1.00E00
ligase activity, forming carbon-nitrogen bonds (GO:0016879)	28	2	.80	+	2.50	2.02E-01	1.00E00
phosphatidylinositol-4-phosphate binding (GO:0070273)	14	1	.40	+	2.50	3.45E-01	1.00E00
transferase activity, transferring nitrogenous groups (GO:0016769)	14	1	.40	+	2.50	3.45E-01	1.00E00
14-3-3 protein binding (GO:0071889)	14	1	.40	+	2.50	3.45E-01	1.00E00
fatty acid derivative binding (GO:1901567)	14	1	.40	+	2.50	3.45E-01	1.00E00
transaminase activity (GO:0008483)	14	1	.40	+	2.50	3.45E-01	1.00E00
insulin receptor binding (GO:0005158)	14	1	.40	+	2.50	3.45E-01	1.00E00
deoxyribonuclease activity (GO:0004536)	28	2	.80	+	2.50	2.02E-01	1.00E00
fatty-acyl-CoA binding (GO:0000062)	14	1	.40	+	2.50	3.45E-01	1.00E00
amide binding (GO:0033218)	141	10	4.03	+	2.48	9.16E-03	1.00E00
protein-lysine N-methyltransferase activity (GO:0016279)	30	2	.86	+	2.33	2.23E-01	1.00E00
molecular function activator activity (GO:0140677)	15	1	.43	+	2.33	3.63E-01	1.00E00
endoribonuclease activity, producing 5'-phosphomonoesters (GO:0016891)	15	1	.43	+	2.33	3.63E-01	1.00E00
microtubule plus-end binding (GO:0051010)	15	1	.43	+	2.33	3.63E-01	1.00E00
retinoic acid receptor binding (GO:0042974)	15	1	.43	+	2.33	3.63E-01	1.00E00
acyl-CoA binding (GO:0120227)	15	1	.43	+	2.33	3.63E-01	1.00E00
calmodulin-dependent protein kinase activity (GO:0004683)	15	1	.43	+	2.33	3.63E-01	1.00E00
O-acyltransferase activity (GO:0008374)	30	2	.86	+	2.33	2.23E-01	1.00E00
CoA-ligase activity (GO:0016405)	15	1	.43	+	2.33	3.63E-01	1.00E00
lysine N-methyltransferase activity (GO:0016278)	31	2	.89	+	2.26	2.33E-01	1.00E00
protein kinase inhibitor activity (GO:0004860)	31	2	.89	+	2.26	2.33E-01	1.00E00
amyloid-beta binding (GO:0001540)	31	2	.89	+	2.26	2.33E-01	1.00E00
histone deacetylase binding (GO:0042826)	62	4	1.77	+	2.26	1.10E-01	1.00E00
protein phosphatase 2A binding (GO:0051721)	16	1	.46	+	2.19	3.81E-01	1.00E00
phosphatase activator activity (GO:0019211)	16	1	.46	+	2.19	3.81E-01	1.00E00
kinase inhibitor activity (GO:0019210)	32	2	.91	+	2.19	2.43E-01	1.00E00
rRNA binding (GO:0019843)	32	2	.91	+	2.19	2.43E-01	1.00E00
R-SMAD binding (GO:0070412)	16	1	.46	+	2.19	3.81E-01	1.00E00
ion channel regulator activity (GO:0099106)	50	3	1.43	+	2.10	1.82E-01	1.00E00
cysteine-type peptidase activity (GO:0008234)	101	6	2.88	+	2.08	7.68E-02	1.00E00
enzyme activator activity (GO:0008047)	287	17	8.20	+	2.07	6.16E-03	1.00E00
protein homodimerization activity (GO:0042803)	321	19	9.17	+	2.07	3.39E-03	1.00E00
channel regulator activity (GO:0016247)	51	3	1.46	+	2.06	1.89E-01	1.00E00
acid-thiol ligase activity (GO:0016878)	17	1	.49	+	2.06	3.98E-01	1.00E00
structural constituent of muscle (GO:0008307)	17	1	.49	+	2.06	3.98E-01	1.00E00
exonuclease activity (GO:0004527)	51	3	1.46	+	2.06	1.89E-01	1.00E00
S-acyltransferase activity (GO:0016417)	17	1	.49	+	2.06	3.98E-01	1.00E00
calcium-dependent phospholipid binding (GO:0005544)	17	1	.49	+	2.06	3.98E-01	1.00E00
SMAD binding (GO:0046332)	51	3	1.46	+	2.06	1.89E-01	1.00E00
heat shock protein binding (GO:0031072)	69	4	1.97	+	2.03	1.44E-01	1.00E00
lipase activity (GO:0016298)	52	3	1.49	+	2.02	1.96E-01	1.00E00
GTPase activator activity (GO:0005096)	160	9	4.57	+	1.97	5.35E-02	1.00E00
endonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016893)	18	1	.51	+	1.94	4.15E-01	1.00E00
phosphatidylinositol-3,5-bisphosphate binding (GO:0080025)	18	1	.51	+	1.94	4.15E-01	1.00E00
cysteine-type endopeptidase activity (GO:0004197)	54	3	1.54	+	1.94	2.10E-01	1.00E00
NF-kappaB binding (GO:0051059)	18	1	.51	+	1.94	4.15E-01	1.00E00
clathrin binding (GO:0030276)	36	2	1.03	+	1.94	2.85E-01	1.00E00
cyclin-dependent protein serine/threonine kinase regulator activity (GO:0016538)	18	1	.51	+	1.94	4.15E-01	1.00E00
endodeoxyribonuclease activity (GO:0004520)	18	1	.51	+	1.94	4.15E-01	1.00E00
histone deacetylase activity (GO:0004407)	18	1	.51	+	1.94	4.15E-01	1.00E00
ubiquitin-like protein-specific protease activity (GO:0019783)	74	4	2.11	+	1.89	1.71E-01	1.00E00
mitogen-activated protein kinase binding (GO:0051019)	19	1	.54	+	1.84	4.31E-01	1.00E00
protein deacetylase activity (GO:0033558)	19	1	.54	+	1.84	4.31E-01	1.00E00
ATPase-coupled cation transmembrane transporter activity (GO:0019829)	19	1	.54	+	1.84	4.31E-01	1.00E00
peptidase activator activity (GO:0016504)	19	1	.54	+	1.84	4.31E-01	1.00E00
carbon-oxygen lyase activity (GO:0016835)	39	2	1.11	+	1.80	3.16E-01	1.00E00
RNA polymerase binding (GO:0070063)	39	2	1.11	+	1.80	3.16E-01	1.00E00
protein dimerization activity (GO:0046983)	432	22	12.34	+	1.78	1.10E-02	1.00E00
nucleoside-triphosphatase regulator activity (GO:0060589)	279	14	7.97	+	1.76	4.36E-02	1.00E00
GTPase regulator activity (GO:0030695)	279	14	7.97	+	1.76	4.36E-02	1.00E00
disulfide oxidoreductase activity (GO:0015036)	20	1	.57	+	1.75	4.47E-01	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)	60	3	1.71	+	1.75	2.55E-01	1.00E00
growth factor binding (GO:0019838)	60	3	1.71	+	1.75	2.55E-01	1.00E00
lipid transfer activity (GO:0120013)	20	1	.57	+	1.75	4.47E-01	1.00E00
glycosaminoglycan binding (GO:0005539)	80	4	2.29	+	1.75	2.97E-01	1.00E00
copper ion binding (GO:0005507)	20	1	.57	+	1.75	4.47E-01	1.00E00
SNAP receptor activity (GO:0005484)	20	1	.57	+	1.75	4.47E-01	1.00E00
protein serine/threonine kinase activity (GO:0004674)	222	11	6.34	+	1.73	9.92E-02	1.00E00
protein serine kinase activity (GO:0106310)	183	9	5.23	+	1.72	1.14E-01	1.00E00
ATPase binding (GO:0051117)	41	2	1.17	+	1.71	3.36E-01	1.00E00
thiol-dependent deubiquitinase (GO:0004843)	63	3	1.80	+	1.67	4.32E-01	1.00E00
carboxypeptidase activity (GO:0004180)	21	1	.60	+	1.67	4.62E-01	1.00E00
aminopeptidase activity (GO:0004177)	21	1	.60	+	1.67	4.62E-01	1.00E00
hydrolase activity, acting on glycosyl bonds (GO:0016798)	63	3	1.80	+	1.67	4.32E-01	1.00E00
thiolester hydrolase activity (GO:0016790)	21	1	.60	+	1.67	4.62E-01	1.00E00
extracellular matrix structural constituent (GO:0005201)	63	3	1.80	+	1.67	4.32E-01	1.00E00
phosphatidylinositol phosphate binding (GO:1901981)	85	4	2.43	+	1.65	3.14E-01	1.00E00
deubiquitinase activity (GO:0101005)	64	3	1.83	+	1.64	4.35E-01	1.00E00
transmembrane signaling receptor activity (GO:0004888)	195	9	5.57	+	1.62	1.87E-01	1.00E00
oxidoreductase activity, acting on CH-OH group of donors (GO:0016614)	65	3	1.86	+	1.62	4.39E-01	1.00E00
transition metal ion transmembrane transporter activity (GO:0046915)	22	1	.63	+	1.59	4.77E-01	1.00E00
snoRNA binding (GO:0030515)	22	1	.63	+	1.59	4.77E-01	1.00E00
RNA polymerase II general transcription initiation factor activity (GO:0016251)	22	1	.63	+	1.59	4.77E-01	1.00E00
intramolecular oxidoreductase activity (GO:0016860)	22	1	.63	+	1.59	4.77E-01	1.00E00
serine-type endopeptidase inhibitor activity (GO:0004867)	22	1	.63	+	1.59	4.77E-01	1.00E00
protein phosphatase inhibitor activity (GO:0004864)	22	1	.63	+	1.59	4.77E-01	1.00E00
regulatory RNA binding (GO:0061980)	22	1	.63	+	1.59	4.77E-01	1.00E00
alpha-tubulin binding (GO:0043014)	22	1	.63	+	1.59	4.77E-01	1.00E00
protein serine/threonine/tyrosine kinase activity (GO:0004712)	222	10	6.34	+	1.58	1.52E-01	1.00E00
kinase regulator activity (GO:0019207)	112	5	3.20	+	1.56	2.61E-01	1.00E00
enzyme regulator activity (GO:0030234)	584	26	16.68	+	1.56	2.76E-02	1.00E00
omega peptidase activity (GO:0008242)	68	3	1.94	+	1.54	4.50E-01	1.00E00
ligase activity (GO:0016874)	91	4	2.60	+	1.54	3.38E-01	1.00E00
Hsp70 protein binding (GO:0030544)	23	1	.66	+	1.52	4.92E-01	1.00E00
E-box binding (GO:0070888)	23	1	.66	+	1.52	4.92E-01	1.00E00
estrogen receptor binding (GO:0030331)	23	1	.66	+	1.52	4.92E-01	1.00E00
cytokine binding (GO:0019955)	46	2	1.31	+	1.52	3.87E-01	1.00E00
histone-lysine N-methyltransferase activity (GO:0018024)	23	1	.66	+	1.52	4.92E-01	1.00E00
phosphatidylserine binding (GO:0001786)	23	1	.66	+	1.52	4.92E-01	1.00E00
protein heterodimerization activity (GO:0046982)	120	5	3.43	+	1.46	4.00E-01	1.00E00
ligase activity, forming carbon-sulfur bonds (GO:0016877)	24	1	.69	+	1.46	5.06E-01	1.00E00
protein serine/threonine kinase activator activity (GO:0043539)	24	1	.69	+	1.46	5.06E-01	1.00E00
RNA polymerase II complex binding (GO:0000993)	24	1	.69	+	1.46	5.06E-01	1.00E00
phosphatase inhibitor activity (GO:0019212)	24	1	.69	+	1.46	5.06E-01	1.00E00
myosin binding (GO:0017022)	24	1	.69	+	1.46	5.06E-01	1.00E00
protein kinase regulator activity (GO:0019887)	96	4	2.74	+	1.46	3.61E-01	1.00E00
general transcription initiation factor activity (GO:0140223)	24	1	.69	+	1.46	5.06E-01	1.00E00
protein kinase activity (GO:0004672)	289	12	8.25	+	1.45	2.06E-01	1.00E00
molecular function regulator (GO:0098772)	736	30	21.02	+	1.43	4.79E-02	1.00E00
L-amino acid transmembrane transporter activity (GO:0015179)	25	1	.71	+	1.40	5.20E-01	1.00E00
NADP binding (GO:0050661)	25	1	.71	+	1.40	5.20E-01	1.00E00
unfolded protein binding (GO:0051082)	50	2	1.43	+	1.40	6.56E-01	1.00E00
structural constituent of cytoskeleton (GO:0005200)	25	1	.71	+	1.40	5.20E-01	1.00E00
scaffold protein binding (GO:0097110)	25	1	.71	+	1.40	5.20E-01	1.00E00
protein tyrosine/serine/threonine phosphatase activity (GO:0008138)	25	1	.71	+	1.40	5.20E-01	1.00E00
phosphatidylinositol bisphosphate binding (GO:1902936)	50	2	1.43	+	1.40	6.56E-01	1.00E00
acyltransferase activity (GO:0016746)	127	5	3.63	+	1.38	4.18E-01	1.00E00
carboxylic acid binding (GO:0031406)	51	2	1.46	+	1.37	6.59E-01	1.00E00
protein phosphatase regulator activity (GO:0019888)	51	2	1.46	+	1.37	6.59E-01	1.00E00
nuclease activity (GO:0004518)	102	4	2.91	+	1.37	5.41E-01	1.00E00
protein methyltransferase activity (GO:0008276)	51	2	1.46	+	1.37	6.59E-01	1.00E00
N-methyltransferase activity (GO:0008170)	51	2	1.46	+	1.37	6.59E-01	1.00E00
ubiquitin protein ligase binding (GO:0031625)	153	6	4.37	+	1.37	4.56E-01	1.00E00
isomerase activity (GO:0016853)	77	3	2.20	+	1.36	4.88E-01	1.00E00
lipid binding (GO:0008289)	334	13	9.54	+	1.36	2.42E-01	1.00E00
sulfur compound binding (GO:1901681)	103	4	2.94	+	1.36	5.43E-01	1.00E00
molecular function inhibitor activity (GO:0140678)	26	1	.74	+	1.35	5.33E-01	1.00E00
oxidoreductase activity, acting on a sulfur group of donors (GO:0016667)	26	1	.74	+	1.35	5.33E-01	1.00E00
deacetylase activity (GO:0019213)	26	1	.74	+	1.35	5.33E-01	1.00E00
guanyl-nucleotide exchange factor activity (GO:0005085)	130	5	3.71	+	1.35	4.27E-01	1.00E00
exopeptidase activity (GO:0008238)	52	2	1.49	+	1.35	6.62E-01	1.00E00
serine-type peptidase activity (GO:0008236)	52	2	1.49	+	1.35	6.62E-01	1.00E00
phosphatidylinositol-3-phosphate binding (GO:0032266)	26	1	.74	+	1.35	5.33E-01	1.00E00
phospholipid transporter activity (GO:0005548)	26	1	.74	+	1.35	5.33E-01	1.00E00
structural constituent of ribosome (GO:0003735)	53	2	1.51	+	1.32	6.66E-01	1.00E00
serine hydrolase activity (GO:0017171)	53	2	1.51	+	1.32	6.66E-01	1.00E00
ubiquitin-like protein ligase binding (GO:0044389)	159	6	4.54	+	1.32	4.67E-01	1.00E00
endonuclease activity (GO:0004519)	53	2	1.51	+	1.32	6.66E-01	1.00E00
catalytic activity, acting on a tRNA (GO:0140101)	80	3	2.29	+	1.31	5.02E-01	1.00E00
phosphotransferase activity, alcohol group as acceptor (GO:0016773)	349	13	9.97	+	1.30	3.23E-01	1.00E00
peptidase activity (GO:0008233)	242	9	6.91	+	1.30	4.30E-01	1.00E00
signaling receptor activity (GO:0038023)	269	10	7.68	+	1.30	3.54E-01	1.00E00
molecular transducer activity (GO:0060089)	269	10	7.68	+	1.30	3.54E-01	1.00E00
cytokine receptor activity (GO:0004896)	27	1	.77	+	1.30	5.46E-01	1.00E00
kinase activator activity (GO:0019209)	54	2	1.54	+	1.30	6.69E-01	1.00E00
GDP binding (GO:0019003)	27	1	.77	+	1.30	5.46E-01	1.00E00
structural molecule activity (GO:0005198)	217	8	6.20	+	1.29	4.10E-01	1.00E00
catalytic activity, acting on DNA (GO:0140097)	136	5	3.88	+	1.29	5.98E-01	1.00E00
protein C-terminus binding (GO:0008022)	110	4	3.14	+	1.27	5.60E-01	1.00E00
transmembrane receptor protein tyrosine kinase activity (GO:0004714)	28	1	.80	+	1.25	5.59E-01	1.00E00
transcription coactivator binding (GO:0001223)	28	1	.80	+	1.25	5.59E-01	1.00E00
ubiquitin-like protein binding (GO:0032182)	84	3	2.40	+	1.25	7.35E-01	1.00E00
oxidoreductase activity (GO:0016491)	283	10	8.08	+	1.24	4.66E-01	1.00E00
protein kinase binding (GO:0019901)	340	12	9.71	+	1.24	4.08E-01	1.00E00
hydrolase activity, acting on ester bonds (GO:0016788)	374	13	10.68	+	1.22	4.28E-01	1.00E00
kinase binding (GO:0019900)	376	13	10.74	+	1.21	4.30E-01	1.00E00
nuclear receptor activity (GO:0004879)	29	1	.83	+	1.21	5.71E-01	1.00E00
ligand-activated transcription factor activity (GO:0098531)	29	1	.83	+	1.21	5.71E-01	1.00E00
endoribonuclease activity (GO:0004521)	29	1	.83	+	1.21	5.71E-01	1.00E00
RNA polymerase core enzyme binding (GO:0043175)	29	1	.83	+	1.21	5.71E-01	1.00E00
enzyme binding (GO:0019899)	1048	36	29.93	+	1.20	2.30E-01	1.00E00
heparin binding (GO:0008201)	59	2	1.69	+	1.19	6.87E-01	1.00E00
kinase activity (GO:0016301)	385	13	11.00	+	1.18	5.29E-01	1.00E00
transferase activity, transferring phosphorus-containing groups (GO:0016772)	474	16	13.54	+	1.18	4.76E-01	1.00E00
growth factor activity (GO:0008083)	30	1	.86	+	1.17	5.83E-01	1.00E00
4 iron, 4 sulfur cluster binding (GO:0051539)	30	1	.86	+	1.17	5.83E-01	1.00E00
immune receptor activity (GO:0140375)	30	1	.86	+	1.17	5.83E-01	1.00E00
identical protein binding (GO:0042802)	933	31	26.65	+	1.16	3.99E-01	1.00E00
phospholipid binding (GO:0005543)	213	7	6.08	+	1.15	6.74E-01	1.00E00
carbohydrate binding (GO:0030246)	93	3	2.66	+	1.13	7.50E-01	1.00E00
tetrapyrrole binding (GO:0046906)	31	1	.89	+	1.13	5.95E-01	1.00E00
hydro-lyase activity (GO:0016836)	31	1	.89	+	1.13	5.95E-01	1.00E00
carbon-carbon lyase activity (GO:0016830)	31	1	.89	+	1.13	5.95E-01	1.00E00
proton transmembrane transporter activity (GO:0015078)	31	1	.89	+	1.13	5.95E-01	1.00E00
hydrolase activity (GO:0016787)	1060	34	30.28	+	1.12	4.85E-01	1.00E00
catalytic activity, acting on a protein (GO:0140096)	1076	34	30.73	+	1.11	5.52E-01	1.00E00
tubulin binding (GO:0015631)	192	6	5.48	+	1.09	8.24E-01	1.00E00
protease binding (GO:0002020)	64	2	1.83	+	1.09	7.06E-01	1.00E00
sodium ion transmembrane transporter activity (GO:0015081)	32	1	.91	+	1.09	6.06E-01	1.00E00
phosphatase regulator activity (GO:0019208)	64	2	1.83	+	1.09	7.06E-01	1.00E00
metalloexopeptidase activity (GO:0008235)	32	1	.91	+	1.09	6.06E-01	1.00E00
histone methyltransferase activity (GO:0042054)	32	1	.91	+	1.09	6.06E-01	1.00E00
GTPase activity (GO:0003924)	130	4	3.71	+	1.08	7.89E-01	1.00E00
lyase activity (GO:0016829)	98	3	2.80	+	1.07	7.60E-01	1.00E00
chromatin binding (GO:0003682)	295	9	8.43	+	1.07	8.57E-01	1.00E00
modified amino acid binding (GO:0072341)	33	1	.94	+	1.06	6.17E-01	1.00E00
oxidoreductase activity, acting on the CH-CH group of donors (GO:0016627)	33	1	.94	+	1.06	6.17E-01	1.00E00
peptidase regulator activity (GO:0061134)	66	2	1.89	+	1.06	7.14E-01	1.00E00
catalytic activity (GO:0003824)	2553	77	72.92	+	1.06	5.54E-01	1.00E00
nucleotide binding (GO:0000166)	1061	32	30.31	+	1.06	7.64E-01	1.00E00
nucleoside phosphate binding (GO:1901265)	1061	32	30.31	+	1.06	7.64E-01	1.00E00
carbohydrate derivative binding (GO:0097367)	1041	31	29.73	+	1.04	7.64E-01	1.00E00
small GTPase binding (GO:0031267)	168	5	4.80	+	1.04	8.15E-01	1.00E00
protein domain specific binding (GO:0019904)	337	10	9.63	+	1.04	8.67E-01	1.00E00
ATP-dependent activity, acting on DNA (GO:0008094)	68	2	1.94	+	1.03	7.21E-01	1.00E00
amino acid transmembrane transporter activity (GO:0015171)	34	1	.97	+	1.03	1.00E00	1.00E00
integrin binding (GO:0005178)	68	2	1.94	+	1.03	7.21E-01	1.00E00
syntaxin binding (GO:0019905)	34	1	.97	+	1.03	1.00E00	1.00E00
adenyl ribonucleotide binding (GO:0032559)	782	23	22.34	+	1.03	8.21E-01	1.00E00
small molecule binding (GO:0036094)	1192	35	34.05	+	1.03	8.49E-01	1.00E00
ATP binding (GO:0005524)	750	22	21.42	+	1.03	9.08E-01	1.00E00
purine ribonucleotide binding (GO:0032555)	921	27	26.31	+	1.03	8.33E-01	1.00E00
purine ribonucleoside triphosphate binding (GO:0035639)	888	26	25.36	+	1.03	9.14E-01	1.00E00
enzyme inhibitor activity (GO:0004857)	137	4	3.91	+	1.02	7.98E-01	1.00E00
adenyl nucleotide binding (GO:0030554)	788	23	22.51	+	1.02	9.10E-01	1.00E00
ribonucleotide binding (GO:0032553)	928	27	26.51	+	1.02	9.16E-01	1.00E00
purine nucleotide binding (GO:0017076)	928	27	26.51	+	1.02	9.16E-01	1.00E00
molecular_function (GO:0003674)	6881	200	196.54	+	1.02	2.53E-01	1.00E00
NAD binding (GO:0051287)	35	1	1.00	+	1.00	1.00E00	1.00E00
cargo receptor activity (GO:0038024)	35	1	1.00	+	1.00	1.00E00	1.00E00
ubiquitin binding (GO:0043130)	70	2	2.00	+	1.00	1.00E00	1.00E00
binding (GO:0005488)	6515	186	186.09	-	1.00	1.00E00	1.00E00
anion binding (GO:0043168)	1127	32	32.19	-	.99	1.00E00	1.00E00
phosphatidylinositol binding (GO:0035091)	142	4	4.06	-	.99	1.00E00	1.00E00
endopeptidase activity (GO:0004175)	143	4	4.08	-	.98	1.00E00	1.00E00
protein binding (GO:0005515)	5947	166	169.87	-	.98	4.49E-01	1.00E00
cytoskeletal motor activity (GO:0003774)	36	1	1.03	-	.97	1.00E00	1.00E00
magnesium ion binding (GO:0000287)	108	3	3.08	-	.97	1.00E00	1.00E00
transcription coregulator binding (GO:0001221)	72	2	2.06	-	.97	1.00E00	1.00E00
phosphatidylinositol-4,5-bisphosphate binding (GO:0005546)	36	1	1.03	-	.97	1.00E00	1.00E00
nucleotidyltransferase activity (GO:0016779)	73	2	2.09	-	.96	1.00E00	1.00E00
exonuclease activity, active with either ribo- or deoxyribonucleic acids and producing 5'-phosphomonoesters (GO:0016796)	37	1	1.06	-	.95	1.00E00	1.00E00
histone binding (GO:0042393)	148	4	4.23	-	.95	1.00E00	1.00E00
GTPase binding (GO:0051020)	185	5	5.28	-	.95	1.00E00	1.00E00
cytokine receptor binding (GO:0005126)	74	2	2.11	-	.95	1.00E00	1.00E00
metal cluster binding (GO:0051540)	37	1	1.06	-	.95	1.00E00	1.00E00
iron-sulfur cluster binding (GO:0051536)	37	1	1.06	-	.95	1.00E00	1.00E00
calcium ion binding (GO:0005509)	222	6	6.34	-	.95	1.00E00	1.00E00
cytoskeletal protein binding (GO:0008092)	452	12	12.91	-	.93	1.00E00	1.00E00
transferase activity (GO:0016740)	1130	30	32.28	-	.93	7.70E-01	1.00E00
ion binding (GO:0043167)	2577	67	73.61	-	.91	3.75E-01	1.00E00
heterocyclic compound binding (GO:1901363)	2702	70	77.18	-	.91	3.41E-01	1.00E00
acyltransferase activity, transferring groups other than amino-acyl groups (GO:0016747)	116	3	3.31	-	.91	1.00E00	1.00E00
basal RNA polymerase II transcription machinery binding (GO:0001099)	39	1	1.11	-	.90	1.00E00	1.00E00
basal transcription machinery binding (GO:0001098)	39	1	1.11	-	.90	1.00E00	1.00E00
protein threonine phosphatase activity (GO:0106307)	39	1	1.11	-	.90	1.00E00	1.00E00
organic cyclic compound binding (GO:0097159)	2732	70	78.04	-	.90	2.73E-01	1.00E00
GTP binding (GO:0005525)	159	4	4.54	-	.88	1.00E00	1.00E00
phosphoric diester hydrolase activity (GO:0008081)	40	1	1.14	-	.88	1.00E00	1.00E00
protein serine phosphatase activity (GO:0106306)	40	1	1.14	-	.88	1.00E00	1.00E00
cation binding (GO:0043169)	1804	45	51.53	-	.87	3.27E-01	1.00E00
pyrophosphatase activity (GO:0016462)	322	8	9.20	-	.87	8.64E-01	1.00E00
metal ion binding (GO:0046872)	1778	44	50.79	-	.87	3.24E-01	1.00E00
hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides (GO:0016818)	326	8	9.31	-	.86	8.64E-01	1.00E00
hydrolase activity, acting on acid anhydrides (GO:0016817)	326	8	9.31	-	.86	8.64E-01	1.00E00
monosaccharide binding (GO:0048029)	41	1	1.17	-	.85	1.00E00	1.00E00
ribosome binding (GO:0043022)	41	1	1.17	-	.85	1.00E00	1.00E00
DNA-binding transcription factor activity, RNA polymerase II-specific (GO:0000981)	452	11	12.91	-	.85	7.69E-01	1.00E00
signaling receptor binding (GO:0005102)	453	11	12.94	-	.85	7.69E-01	1.00E00
cadherin binding (GO:0045296)	165	4	4.71	-	.85	1.00E00	1.00E00
guanyl ribonucleotide binding (GO:0032561)	166	4	4.74	-	.84	1.00E00	1.00E00
protein phosphatase binding (GO:0019903)	83	2	2.37	-	.84	1.00E00	1.00E00
guanyl nucleotide binding (GO:0019001)	166	4	4.74	-	.84	1.00E00	1.00E00
electron transfer activity (GO:0009055)	42	1	1.20	-	.83	1.00E00	1.00E00
nucleoside-triphosphatase activity (GO:0017111)	297	7	8.48	-	.83	7.23E-01	1.00E00
ribonucleoprotein complex binding (GO:0043021)	85	2	2.43	-	.82	1.00E00	1.00E00
protein-containing complex binding (GO:0044877)	596	14	17.02	-	.82	5.21E-01	1.00E00
serine-type endopeptidase activity (GO:0004252)	43	1	1.23	-	.81	1.00E00	1.00E00
mRNA binding (GO:0003729)	172	4	4.91	-	.81	1.00E00	1.00E00
tRNA binding (GO:0000049)	43	1	1.23	-	.81	1.00E00	1.00E00
DNA-binding transcription factor activity (GO:0003700)	474	11	13.54	-	.81	5.68E-01	1.00E00
cell adhesion molecule binding (GO:0050839)	259	6	7.40	-	.81	8.48E-01	1.00E00
RNA binding (GO:0003723)	909	21	25.96	-	.81	3.37E-01	1.00E00
DNA binding (GO:0003677)	1043	24	29.79	-	.81	3.13E-01	1.00E00
nucleic acid binding (GO:0003676)	1842	42	52.61	-	.80	1.04E-01	1.00E00
catalytic activity, acting on a nucleic acid (GO:0140640)	356	8	10.17	-	.79	6.23E-01	1.00E00
double-stranded DNA binding (GO:0003690)	625	14	17.85	-	.78	4.48E-01	1.00E00
actin filament binding (GO:0051015)	90	2	2.57	-	.78	1.00E00	1.00E00
damaged DNA binding (GO:0003684)	45	1	1.29	-	.78	1.00E00	1.00E00
DNA helicase activity (GO:0003678)	45	1	1.29	-	.78	1.00E00	1.00E00
ATPase-coupled transmembrane transporter activity (GO:0042626)	45	1	1.29	-	.78	1.00E00	1.00E00
steroid binding (GO:0005496)	45	1	1.29	-	.78	1.00E00	1.00E00
DNA-binding transcription repressor activity, RNA polymerase II-specific (GO:0001227)	136	3	3.88	-	.77	1.00E00	1.00E00
microtubule binding (GO:0008017)	137	3	3.91	-	.77	1.00E00	1.00E00
