




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	4_Adipose_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Adipose_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Adipose_Background_AllMultiIsoGenes.txt - REFLIST (7142)	4_Adipose_Active_SpecificSwitches.txt (204)	4_Adipose_Active_SpecificSwitches.txt (expected)	4_Adipose_Active_SpecificSwitches.txt (over/under)	4_Adipose_Active_SpecificSwitches.txt (fold Enrichment)	4_Adipose_Active_SpecificSwitches.txt (raw P-value)	4_Adipose_Active_SpecificSwitches.txt (FDR)
ribonuclease P complex (GO:0030677)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
axolemma (GO:0030673)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
heteromeric SMAD protein complex (GO:0071144)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
phagocytic vesicle membrane (GO:0030670)	32	0	.91	-	 < 0.01	1.00E00	1.00E00
dendritic filopodium (GO:1902737)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
homomeric SMAD protein complex (GO:0071142)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
SMAD protein complex (GO:0071141)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
complement component C1q complex (GO:0062167)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CHD-type complex (GO:0090545)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
Flemming body (GO:0090543)	18	0	.51	-	 < 0.01	1.00E00	1.00E00
mRNA editing complex (GO:0045293)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
box H/ACA scaRNP complex (GO:0072589)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
box H/ACA RNP complex (GO:0072588)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
COPI-coated vesicle membrane (GO:0030663)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
Golgi-associated vesicle membrane (GO:0030660)	26	0	.74	-	 < 0.01	1.00E00	1.00E00
dendrite cytoplasm (GO:0032839)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
alpha9-beta1 integrin-ADAM8 complex (GO:0071133)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mitochondrial ATP-gated potassium channel complex (GO:0062157)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CERF complex (GO:0090537)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
WICH complex (GO:0090535)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
calcium ion-transporting ATPase complex (GO:0090534)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cation-transporting ATPase complex (GO:0090533)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
catalase complex (GO:0062151)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
fumarate reductase complex (GO:0045283)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
synaptobrevin 2-SNAP-25-syntaxin-1a complex (GO:0070044)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase complex (GO:0045281)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
cytoophidium (GO:0097268)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
nucleoplasmic reticulum (GO:0044195)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cytolytic granule (GO:0044194)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
insulin receptor complex (GO:0005899)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor complex (GO:0005896)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
interleukin-5 receptor complex (GO:0005895)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
acetylcholine-gated channel complex (GO:0005892)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
voltage-gated calcium channel complex (GO:0005891)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
sodium:potassium-exchanging ATPase complex (GO:0005890)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex IV (GO:0045277)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex III (GO:0045275)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex II (GO:0045273)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
respiratory chain complex I (GO:0045271)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
R2TP complex (GO:0097255)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
transcription export complex 2 (GO:0070390)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
Arp2/3 protein complex (GO:0005885)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
neurofilament (GO:0005883)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
intermediate filament (GO:0005882)	23	0	.66	-	 < 0.01	1.00E00	1.00E00
dopaminergic synapse (GO:0098691)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
proton-transporting ATP synthase complex, catalytic core F(1) (GO:0045261)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
transforming growth factor beta ligand-receptor complex (GO:0070021)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
endosome to plasma membrane transport vesicle (GO:0070381)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
NLRP3 inflammasome complex (GO:0072559)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
tubulobulbar complex (GO:0036284)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
axonemal microtubule (GO:0005879)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
spindle microtubule (GO:0005876)	47	0	1.34	-	 < 0.01	6.42E-01	1.00E00
plus-end kinesin complex (GO:0005873)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
kinesin complex (GO:0005871)	21	0	.60	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle B (GO:0030992)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
neuronal cell body membrane (GO:0032809)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle A (GO:0030991)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
intraciliary transport particle (GO:0030990)	19	0	.54	-	 < 0.01	1.00E00	1.00E00
DNA ligase IV complex (GO:0032807)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
parallel fiber to Purkinje cell synapse (GO:0098688)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
succinate dehydrogenase complex (ubiquinone) (GO:0045257)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
small ribosomal subunit (GO:0015935)	17	0	.49	-	 < 0.01	1.00E00	1.00E00
Schaffer collateral - CA1 synapse (GO:0098685)	18	0	.51	-	 < 0.01	1.00E00	1.00E00
photoreceptor ribbon synapse (GO:0098684)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
periciliary membrane compartment (GO:1990075)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
oxoglutarate dehydrogenase complex (GO:0045252)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
electron transfer flavoprotein complex (GO:0045251)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
TRAPPIII protein complex (GO:1990072)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
TRAPPII protein complex (GO:1990071)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
TRAPPI protein complex (GO:1990070)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sperm cytoplasmic droplet (GO:0097598)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
EMC complex (GO:0072546)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
dynactin complex (GO:0005869)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
cytoplasmic dynein complex (GO:0005868)	13	0	.37	-	 < 0.01	1.00E00	1.00E00
striated muscle myosin thick filament (GO:0005863)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
integral component of cytoplasmic side of endoplasmic reticulum membrane (GO:0071458)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
megasporocyte nucleus (GO:0043076)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
distal axon (GO:0150034)	106	0	3.03	-	 < 0.01	1.24E-01	1.00E00
caveola neck (GO:0099400)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cortical microtubule cytoskeleton (GO:0030981)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
germ cell nucleus (GO:0043073)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
beta-catenin-TCF7L2 complex (GO:0070369)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
extrinsic component of neuronal dense core vesicle membrane (GO:0098674)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
succinate-CoA ligase complex (GDP-forming) (GO:0045244)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
signal recognition particle (GO:0048500)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
isocitrate dehydrogenase complex (NAD+) (GO:0045242)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
RPAP3/R2TP/prefoldin-like complex (GO:1990062)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
sperm principal piece (GO:0097228)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
dihydrolipoyl dehydrogenase complex (GO:0045240)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
sperm annulus (GO:0097227)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
sperm mitochondrial sheath (GO:0097226)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sperm midpiece (GO:0097225)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
sperm connecting piece (GO:0097224)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
muscle myosin complex (GO:0005859)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
nascent polypeptide-associated complex (GO:0005854)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation elongation factor 1 complex (GO:0005853)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 3 complex (GO:0005852)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2B complex (GO:0005851)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
eukaryotic translation initiation factor 2 complex (GO:0005850)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
germ plasm (GO:0060293)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
tricarboxylic acid cycle enzyme complex (GO:0045239)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
lateral cell cortex (GO:0097575)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
lateral part of cell (GO:0097574)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage factor complex (GO:0005849)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage stimulating factor complex (GO:0005848)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mRNA cleavage and polyadenylation specificity factor complex (GO:0005847)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
nuclear cap binding complex (GO:0005846)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
mRNA cap binding complex (GO:0005845)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
polysome (GO:0005844)	27	0	.77	-	 < 0.01	1.00E00	1.00E00
clathrin complex (GO:0071439)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
NADH dehydrogenase complex (GO:0030964)	16	0	.46	-	 < 0.01	1.00E00	1.00E00
apical distal dendrite (GO:0150014)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
LUBAC complex (GO:0071797)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
spindle matrix (GO:1990047)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
alveolar lamellar body (GO:0097208)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
proteasome core complex (GO:0005839)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
proteasome regulatory particle (GO:0005838)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
cell cortex region (GO:0099738)	19	0	.54	-	 < 0.01	1.00E00	1.00E00
heterotrimeric G-protein complex (GO:0005834)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
glutamyl-tRNA(Gln) amidotransferase complex (GO:0030956)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
chaperonin-containing T-complex (GO:0005832)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
enzyme activator complex (GO:0150005)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
distal dendrite (GO:0150002)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
primary dendrite (GO:0150001)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
Ric1-Rgp1 guanyl-nucleotide exchange factor complex (GO:0034066)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
collagen beaded filament (GO:0098647)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Lewy body corona (GO:1990038)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Lewy body core (GO:1990037)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
collagen network (GO:0098645)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
network-forming collagen trimer (GO:0098642)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
3M complex (GO:1990393)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
molybdopterin synthase complex (GO:0019008)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
FHF complex (GO:0070695)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
SCF ubiquitin ligase complex (GO:0019005)	30	0	.86	-	 < 0.01	1.00E00	1.00E00
terminal cisterna (GO:0014802)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
kinetochore microtubule (GO:0005828)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
longitudinal sarcoplasmic reticulum (GO:0014801)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
polar microtubule (GO:0005827)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
actomyosin contractile ring (GO:0005826)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
transcription preinitiation complex (GO:0097550)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
exon-exon junction complex (GO:0035145)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
costamere (GO:0043034)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
isoamylase complex (GO:0043033)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
cell tip (GO:0051286)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
protein complex involved in cell-matrix adhesion (GO:0098637)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
hippocampal mossy fiber expansion (GO:1990026)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mitotic spindle midzone (GO:1990023)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
anchored component of synaptic vesicle membrane (GO:0098993)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle (GO:0098992)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
ciliary base (GO:0097546)	19	0	.54	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-endosome membrane contact site (GO:0140284)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
ciliary inversin compartment (GO:0097543)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
ciliary tip (GO:0097542)	36	0	1.03	-	 < 0.01	6.26E-01	1.00E00
aster (GO:0005818)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
axonemal basal plate (GO:0097541)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
anchoring collagen complex (GO:0030934)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
NADPH oxidase complex (GO:0043020)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
phagophore assembly site membrane (GO:0034045)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
glucosidase II complex (GO:0017177)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
exomer complex (GO:0034044)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Golgi to plasma membrane transport vesicle (GO:0070319)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
GABA-ergic synapse (GO:0098982)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
cholinergic synapse (GO:0098981)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
ciliary transition fiber (GO:0097539)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
phosphopyruvate hydratase complex (GO:0000015)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
ATR-ATRIP complex (GO:0070310)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
MIB complex (GO:0140275)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
beta-N-acetylhexosaminidase complex (GO:1905379)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
serine-type endopeptidase complex (GO:1905370)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
pentameric IgM immunoglobulin complex (GO:0071756)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
IgM immunoglobulin complex, circulating (GO:0071754)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
IgM immunoglobulin complex (GO:0071753)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
secretory dimeric IgA immunoglobulin complex (GO:0071752)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
secretory IgA immunoglobulin complex (GO:0071751)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
dimeric IgA immunoglobulin complex (GO:0071750)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
granular vesicle (GO:1990005)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-plasma membrane contact site (GO:0140268)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
tricellular tight junction (GO:0061689)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
spliceosomal tri-snRNP complex (GO:0097526)	14	0	.40	-	 < 0.01	1.00E00	1.00E00
BCOR complex (GO:0140261)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
endopeptidase complex (GO:1905369)	49	0	1.40	-	 < 0.01	6.47E-01	1.00E00
Smc5-Smc6 complex (GO:0030915)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
polymeric IgA immunoglobulin complex (GO:0071749)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
monomeric IgA immunoglobulin complex (GO:0071748)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
GTPase complex (GO:1905360)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
IgA immunoglobulin complex, circulating (GO:0071746)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
IgA immunoglobulin complex (GO:0071745)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Pwp2p-containing subcomplex of 90S preribosome (GO:0034388)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
perisynaptic extracellular matrix (GO:0098966)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
triglyceride-rich plasma lipoprotein particle (GO:0034385)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
terminal web (GO:1990357)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear RNA export factor complex (GO:0042272)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
transporter complex (GO:1990351)	87	0	2.49	-	 < 0.01	1.79E-01	1.00E00
HAUS complex (GO:0070652)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
myosin II filament (GO:0097513)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
mitotic spindle astral microtubule (GO:0061673)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
eukaryotic 80S initiation complex (GO:0033291)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
eukaryotic 48S preinitiation complex (GO:0033290)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
retromer, cargo-selective complex (GO:0030906)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
exoribonuclease complex (GO:1905354)	11	0	.31	-	 < 0.01	1.00E00	1.00E00
PRC1 complex (GO:0035102)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
FACT complex (GO:0035101)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
NMDA selective glutamate receptor complex (GO:0017146)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
THO complex (GO:0000347)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
transcription export complex (GO:0000346)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
Rad6-Rad18 complex (GO:0097505)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Gemini of coiled bodies (GO:0097504)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
endodeoxyribonuclease complex (GO:1905347)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic specialization membrane (GO:0098948)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
spherical high-density lipoprotein particle (GO:0034366)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
intrinsic component of presynaptic active zone membrane (GO:0098945)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle (GO:0034364)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
intermediate-density lipoprotein particle (GO:0034363)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle (GO:0034362)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle (GO:0034361)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
Ire1 complex (GO:1990332)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
translation preinitiation complex (GO:0070993)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
transcription factor TFTC complex (GO:0033276)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
translation initiation complex (GO:0070992)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
paranode region of axon (GO:0033270)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
plasma lipoprotein particle (GO:0034358)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
platelet dense tubular network membrane (GO:0031095)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
immunological synapse (GO:0001772)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
platelet dense tubular network (GO:0031094)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
protein N-acetylglucosaminyltransferase complex (GO:0017122)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule membrane (GO:0031092)	10	0	.29	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIK complex (GO:0070985)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
internode region of axon (GO:0033269)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
node of Ranvier (GO:0033268)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
CSF1-CSF1R complex (GO:1990682)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase III-beta-TDRD3 complex (GO:0140225)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
procentriole replication complex (GO:0120099)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
zeta DNA polymerase complex (GO:0016035)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
storage vacuole (GO:0000322)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
procentriole (GO:0120098)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
CORVET complex (GO:0033263)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
septin collar (GO:0032173)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Golgi transport complex (GO:0017119)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
PAM complex, Tim23 associated import motor (GO:0001405)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
platelet dense granule lumen (GO:0031089)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
platelet dense granule membrane (GO:0031088)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
SAM complex (GO:0001401)	9	0	.26	-	 < 0.01	1.00E00	1.00E00
lamellar body (GO:0042599)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
BLOC-3 complex (GO:0031085)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
BLOC-2 complex (GO:0031084)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
Golgi trans cisterna membrane (GO:1990676)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
BLOC-1 complex (GO:0031083)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
extrinsic component of dense core granule membrane (GO:0098922)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Golgi medial cisterna membrane (GO:1990675)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
BLOC complex (GO:0031082)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
rhabdomere (GO:0016028)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Bcl3/NF-kappaB2 complex (GO:0033257)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
organellar small ribosomal subunit (GO:0000314)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
I-kappaB/NF-kappaB complex (GO:0033256)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
Derlin-1 retrotranslocation complex (GO:0036513)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum exit site (GO:0070971)	18	0	.51	-	 < 0.01	1.00E00	1.00E00
adrenomedullin receptor complex (GO:1903143)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
axon terminus (GO:0043679)	32	0	.91	-	 < 0.01	1.00E00	1.00E00
glutamate-cysteine ligase complex (GO:0017109)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
pore complex (GO:0046930)	12	0	.34	-	 < 0.01	1.00E00	1.00E00
zymogen granule membrane (GO:0042589)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
zymogen granule (GO:0042588)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
nucleocytoplasmic transport complex (GO:0031074)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
glycogen granule (GO:0042587)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
PCSK9-LDLR complex (GO:1990666)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
U11/U12 snRNP (GO:0034693)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA synthetase multienzyme complex (GO:0017101)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
cytoplasmic cyclin-dependent protein kinase holoenzyme complex (GO:0000308)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
SWI/SNF superfamily-type complex (GO:0070603)	59	0	1.69	-	 < 0.01	4.13E-01	1.00E00
chromaffin granule membrane (GO:0042584)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
chromaffin granule (GO:0042583)	7	0	.20	-	 < 0.01	1.00E00	1.00E00
extrinsic component of vacuolar membrane (GO:0000306)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
Derlin-1-VIMP complex (GO:0036502)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
UFD1-NPL4 complex (GO:0036501)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
sarcoglycan complex (GO:0016012)	3	0	.09	-	 < 0.01	1.00E00	1.00E00
autolysosome (GO:0044754)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
dystroglycan complex (GO:0016011)	4	0	.11	-	 < 0.01	1.00E00	1.00E00
dystrophin-associated glycoprotein complex (GO:0016010)	5	0	.14	-	 < 0.01	1.00E00	1.00E00
amphisome (GO:0044753)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
septin cytoskeleton (GO:0032156)	8	0	.23	-	 < 0.01	1.00E00	1.00E00
integrin alphaX-beta2 complex (GO:0034689)	1	0	.03	-	 < 0.01	1.00E00	1.00E00
integrin alphaL-beta2 complex (GO:0034687)	2	0	.06	-	 < 0.01	1.00E00	1.00E00
XY body (GO:0001741)	6	0	.17	-	 < 0.01	1.00E00	1.00E00
