




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO cellular component complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
HAUS complex (GO:0070652)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
contractile actin filament bundle (GO:0097517)	30	0	.24	-	 < 0.01	1.00E00	1.00E00
myosin II filament (GO:0097513)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cardiac myofibril (GO:0097512)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic spindle astral microtubule (GO:0061673)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
eukaryotic 48S preinitiation complex (GO:0033290)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
retromer, cargo-selective complex (GO:0030906)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
retromer, tubulation complex (GO:0030905)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
exoribonuclease complex (GO:1905354)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
retromer complex (GO:0030904)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
PRC1 complex (GO:0035102)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
FACT complex (GO:0035101)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NMDA selective glutamate receptor complex (GO:0017146)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
THO complex (GO:0000347)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
transcription export complex (GO:0000346)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
Gemini of coiled bodies (GO:0097504)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic specialization membrane (GO:0098948)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
spherical high-density lipoprotein particle (GO:0034366)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
spindle midzone (GO:0051233)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle (GO:0034364)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
intrinsic component of presynaptic active zone membrane (GO:0098945)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
intermediate-density lipoprotein particle (GO:0034363)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle (GO:0034362)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle (GO:0034361)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
translation preinitiation complex (GO:0070993)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
transcription factor TFTC complex (GO:0033276)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
paranode region of axon (GO:0033270)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoplasmic vesicle lumen (GO:0060205)	91	0	.73	-	 < 0.01	1.00E00	1.00E00
plasma lipoprotein particle (GO:0034358)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
intrinsic component of postsynaptic membrane (GO:0098936)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
platelet dense tubular network membrane (GO:0031095)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
platelet dense tubular network (GO:0031094)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
immunological synapse (GO:0001772)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
protein N-acetylglucosaminyltransferase complex (GO:0017122)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule lumen (GO:0031093)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule membrane (GO:0031092)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
platelet alpha granule (GO:0031091)	29	0	.23	-	 < 0.01	1.00E00	1.00E00
transcription factor TFIIK complex (GO:0070985)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
internode region of axon (GO:0033269)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CSF1-CSF1R complex (GO:1990682)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
node of Ranvier (GO:0033268)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
DNA topoisomerase III-beta-TDRD3 complex (GO:0140225)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
procentriole replication complex (GO:0120099)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
zeta DNA polymerase complex (GO:0016035)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
storage vacuole (GO:0000322)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CORVET complex (GO:0033263)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi transport complex (GO:0017119)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
platelet dense granule lumen (GO:0031089)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
PAM complex, Tim23 associated import motor (GO:0001405)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
platelet dense granule membrane (GO:0031088)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Atg1/ULK1 kinase complex (GO:1990316)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lamellar body (GO:0042599)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
SAM complex (GO:0001401)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
BLOC-2 complex (GO:0031084)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
BLOC-1 complex (GO:0031083)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi trans cisterna membrane (GO:1990676)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
extrinsic component of dense core granule membrane (GO:0098922)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
BLOC complex (GO:0031082)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
Golgi medial cisterna membrane (GO:1990675)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear pore outer ring (GO:0031080)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
organellar large ribosomal subunit (GO:0000315)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
Bcl3/NF-kappaB2 complex (GO:0033257)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
organellar small ribosomal subunit (GO:0000314)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
I-kappaB/NF-kappaB complex (GO:0033256)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
organellar ribosome (GO:0000313)	29	0	.23	-	 < 0.01	1.00E00	1.00E00
Derlin-1 retrotranslocation complex (GO:0036513)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum exit site (GO:0070971)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
adrenomedullin receptor complex (GO:1903143)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
axon terminus (GO:0043679)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
glutamate-cysteine ligase complex (GO:0017109)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pore complex (GO:0046930)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
zymogen granule membrane (GO:0042589)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
zymogen granule (GO:0042588)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
nucleocytoplasmic transport complex (GO:0031074)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
glycogen granule (GO:0042587)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
U11/U12 snRNP (GO:0034693)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
photoreceptor outer segment (GO:0001750)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
aminoacyl-tRNA synthetase multienzyme complex (GO:0017101)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic cyclin-dependent protein kinase holoenzyme complex (GO:0000308)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase holoenzyme complex (GO:0000307)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
SWI/SNF superfamily-type complex (GO:0070603)	51	0	.41	-	 < 0.01	1.00E00	1.00E00
chromaffin granule membrane (GO:0042584)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chromaffin granule (GO:0042583)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
extrinsic component of vacuolar membrane (GO:0000306)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
azurophil granule (GO:0042582)	52	0	.41	-	 < 0.01	1.00E00	1.00E00
specific granule (GO:0042581)	34	0	.27	-	 < 0.01	1.00E00	1.00E00
Derlin-1-VIMP complex (GO:0036502)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UFD1-NPL4 complex (GO:0036501)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sarcoglycan complex (GO:0016012)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
autolysosome (GO:0044754)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
dystroglycan complex (GO:0016011)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
amphisome (GO:0044753)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
dystrophin-associated glycoprotein complex (GO:0016010)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
septin cytoskeleton (GO:0032156)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cleavage furrow (GO:0032154)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
cell division site (GO:0032153)	25	0	.20	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta8 complex (GO:0034686)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta6 complex (GO:0034685)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta5 complex (GO:0034684)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
XY body (GO:0001741)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
integrin alphav-beta3 complex (GO:0034683)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Barr body (GO:0001740)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA polymerase complex (GO:0042575)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
integrin alpha11-beta1 complex (GO:0034681)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha10-beta1 complex (GO:0034680)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MICOS complex (GO:0061617)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
mitotic checkpoint complex (GO:0033597)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
TSC1-TSC2 complex (GO:0033596)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
TEAD-YAP complex (GO:0140552)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
host cell (GO:0043657)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
sex chromatin (GO:0001739)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha8-beta1 complex (GO:0034678)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha7-beta1 complex (GO:0034677)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha5-beta1 complex (GO:0034674)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
inhibin-betaglycan-ActRII complex (GO:0034673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA nuclear export complex (GO:0042565)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
NLS-dependent protein nuclear import complex (GO:0042564)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
elongator holoenzyme complex (GO:0033588)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
integrin alpha4-beta1 complex (GO:0034668)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stress fiber (GO:0001725)	30	0	.24	-	 < 0.01	1.00E00	1.00E00
integrin alpha3-beta1 complex (GO:0034667)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
integrin alpha2-beta1 complex (GO:0034666)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dense core granule (GO:0031045)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
integrin alpha1-beta1 complex (GO:0034665)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Dsl1/NZR complex (GO:0070939)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum chaperone complex (GO:0034663)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
contractile ring (GO:0070938)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CRD-mediated mRNA stability complex (GO:0070937)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
proximal dendrite (GO:1990635)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MCM complex (GO:0042555)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum protein-containing complex (GO:0140534)	41	0	.33	-	 < 0.01	1.00E00	1.00E00
catenin complex (GO:0016342)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
postsynaptic density, intracellular component (GO:0099092)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
myelin sheath adaxonal region (GO:0035749)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
postsynaptic specialization, intracellular component (GO:0099091)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
myelin sheath abaxonal region (GO:0035748)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
dense core granule membrane (GO:0032127)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of plasma membrane (GO:0009898)	45	0	.36	-	 < 0.01	1.00E00	1.00E00
external side of plasma membrane (GO:0009897)	61	0	.49	-	 < 0.01	1.00E00	1.00E00
GID complex (GO:0034657)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Elg1 RFC-like complex (GO:0031391)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Ctf18 RFC-like complex (GO:0031390)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ESCRT-0 complex (GO:0033565)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
synaptonemal structure (GO:0099086)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
SMC loading complex (GO:0032116)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Set1C/COMPASS complex (GO:0048188)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
delta DNA polymerase complex (GO:0043625)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of mitochondrial outer membrane (GO:0032473)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
interphase microtubule organizing center (GO:0031021)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
lateral plasma membrane (GO:0016328)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
Slx1-Slx4 complex (GO:0033557)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
BORC complex (GO:0099078)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
apicolateral plasma membrane (GO:0016327)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
Prp19 complex (GO:0000974)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
rDNA heterochromatin (GO:0033553)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
basolateral plasma membrane (GO:0016323)	58	0	.46	-	 < 0.01	1.00E00	1.00E00
mitochondrion-derived vesicle (GO:0099073)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
activin receptor complex (GO:0048179)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
multi-eIF complex (GO:0043614)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Ino80 complex (GO:0031011)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
meiotic nuclear membrane microtubule tethering complex (GO:0034993)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UBC13-MMS2 complex (GO:0031372)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ISWI-type complex (GO:0031010)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
microtubule organizing center attachment site (GO:0034992)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme complex (GO:0031371)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear meiotic cohesin complex (GO:0034991)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
calcitonin family receptor complex (GO:1903439)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear mitotic cohesin complex (GO:0034990)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
protein phosphatase 4 complex (GO:0030289)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
dynein complex (GO:0030286)	10	0	.08	-	 < 0.01	1.00E00	1.00E00
integral component of synaptic vesicle membrane (GO:0030285)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
integral component of postsynaptic density membrane (GO:0099061)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
integral component of postsynaptic specialization membrane (GO:0099060)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
protein-cysteine S-palmitoyltransferase complex (GO:1905961)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear replisome (GO:0043601)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
potassium ion-transporting ATPase complex (GO:0031004)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cytoplasmic microtubule plus-end (GO:1904511)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anchored component of external side of plasma membrane (GO:0031362)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
integral component of presynaptic active zone membrane (GO:0099059)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
integral component of presynaptic membrane (GO:0099056)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
integral component of postsynaptic membrane (GO:0099055)	15	0	.12	-	 < 0.01	1.00E00	1.00E00
activating signal cointegrator 1 complex (GO:0099053)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
CBM complex (GO:0032449)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
activin responsive factor complex (GO:0032444)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
cuticular plate (GO:0032437)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
SMN complex (GO:0032797)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of Golgi membrane (GO:0090498)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
filopodium tip (GO:0032433)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
actin filament bundle (GO:0032432)	32	0	.26	-	 < 0.01	1.00E00	1.00E00
mitochondrial endopeptidase Clp complex (GO:0009841)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
inner kinetochore (GO:0000939)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
GARP complex (GO:0000938)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear cyclin-dependent protein kinase holoenzyme complex (GO:0019908)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
cyclin-dependent protein kinase activating kinase holoenzyme complex (GO:0019907)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
P-body (GO:0000932)	34	0	.27	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin large complex (GO:0000931)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
gamma-tubulin complex (GO:0000930)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
stereocilium tip (GO:0032426)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
super elongation complex (GO:0032783)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
stereocilium bundle (GO:0032421)	16	0	.13	-	 < 0.01	1.00E00	1.00E00
stereocilium (GO:0032420)	14	0	.11	-	 < 0.01	1.00E00	1.00E00
dendritic microtubule (GO:1901588)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNAi effector complex (GO:0031332)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
anchored component of presynaptic membrane (GO:0099026)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
anchored component of postsynaptic membrane (GO:0099025)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
HULC complex (GO:0033503)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
equatorial microtubule organizing center (GO:0000923)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
cortical microtubule plus-end (GO:1903754)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle tethering complex (GO:0099023)	28	0	.22	-	 < 0.01	1.00E00	1.00E00
perinuclear endoplasmic reticulum lumen (GO:0099020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Piccolo NuA4 histone acetyltransferase complex (GO:0032777)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle lumen (GO:0099013)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
neuronal dense core vesicle membrane (GO:0099012)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
alphav-beta3 integrin-vitronectin complex (GO:0071062)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
coated membrane (GO:0048475)	35	0	.28	-	 < 0.01	1.00E00	1.00E00
Wnt signalosome (GO:1990909)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
beta-catenin-TCF complex (GO:1990907)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
extrinsic component of mitochondrial inner membrane (GO:0031314)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
tetraspanin-enriched microdomain (GO:0097197)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
platelet dense granule (GO:0042827)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
extrinsic component of endosome membrane (GO:0031313)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
extrinsic component of organelle membrane (GO:0031312)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
TAP complex (GO:0042825)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
H zone (GO:0031673)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
MHC class I peptide loading complex (GO:0042824)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
A band (GO:0031672)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
intrinsic component of vacuolar membrane (GO:0031310)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
integral component of mitochondrial outer membrane (GO:0031307)	12	0	.10	-	 < 0.01	1.00E00	1.00E00
intrinsic component of mitochondrial outer membrane (GO:0031306)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
integral component of mitochondrial inner membrane (GO:0031305)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
intrinsic component of mitochondrial inner membrane (GO:0031304)	18	0	.14	-	 < 0.01	1.00E00	1.00E00
ficolin-1-rich granule lumen (GO:1904813)	41	0	.33	-	 < 0.01	1.00E00	1.00E00
integral component of endosome membrane (GO:0031303)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
intrinsic component of endosome membrane (GO:0031302)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
zona pellucida receptor complex (GO:0002199)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor dimeric complex (GO:0038037)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
serine protease inhibitor complex (GO:0097180)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear speck (GO:0016607)	185	0	1.48	-	 < 0.01	4.02E-01	1.00E00
PML body (GO:0016605)	51	0	.41	-	 < 0.01	1.00E00	1.00E00
MAML1-RBP-Jkappa- ICN1 complex (GO:0002193)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
CCAAT-binding factor complex (GO:0016602)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
flotillin complex (GO:0016600)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
kinociliary basal body (GO:1902636)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
FAR/SIN/STRIPAK complex (GO:0090443)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
protease inhibitor complex (GO:0097179)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
MSL complex (GO:0072487)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
ribose phosphate diphosphokinase complex (GO:0002189)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
basal cortex (GO:0045180)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
nuclear stress granule (GO:0097165)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Cul4-RING E3 ubiquitin ligase complex (GO:0080008)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
Golgi-associated vesicle (GO:0005798)	30	0	.24	-	 < 0.01	1.00E00	1.00E00
palmitoyltransferase complex (GO:0002178)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
manchette (GO:0002177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Golgi medial cisterna (GO:0005797)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
Golgi lumen (GO:0005796)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
integral component of synaptic membrane (GO:0099699)	24	0	.19	-	 < 0.01	1.00E00	1.00E00
Golgi stack (GO:0005795)	44	0	.35	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum-Golgi intermediate compartment (GO:0005793)	52	0	.41	-	 < 0.01	1.00E00	1.00E00
smooth endoplasmic reticulum (GO:0005790)	11	0	.09	-	 < 0.01	1.00E00	1.00E00
U2-type post-spliceosomal complex (GO:0071021)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
post-spliceosomal complex (GO:0071020)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
basal part of cell (GO:0045178)	69	0	.55	-	 < 0.01	1.00E00	1.00E00
intercellular bridge (GO:0045171)	21	0	.17	-	 < 0.01	1.00E00	1.00E00
3-methylcrotonyl-CoA carboxylase complex, mitochondrial (GO:0002169)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum lumen (GO:0005788)	92	0	.73	-	 < 0.01	1.00E00	1.00E00
kinesin II complex (GO:0016939)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
kinesin I complex (GO:0016938)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
signal recognition particle, endoplasmic reticulum targeting (GO:0005786)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
Sec61 translocon complex (GO:0005784)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peroxisomal matrix (GO:0005782)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
post-mRNA release spliceosomal complex (GO:0071014)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
catalytic step 2 spliceosome (GO:0071013)	40	0	.32	-	 < 0.01	1.00E00	1.00E00
catalytic step 1 spliceosome (GO:0071012)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
precatalytic spliceosome (GO:0071011)	17	0	.14	-	 < 0.01	1.00E00	1.00E00
prespliceosome (GO:0071010)	7	0	.06	-	 < 0.01	1.00E00	1.00E00
cytoskeleton of presynaptic active zone (GO:0048788)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone membrane (GO:0048787)	6	0	.05	-	 < 0.01	1.00E00	1.00E00
presynaptic active zone (GO:0048786)	19	0	.15	-	 < 0.01	1.00E00	1.00E00
cytoplasmic side of apical plasma membrane (GO:0098592)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
external side of apical plasma membrane (GO:0098591)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
early phagosome membrane (GO:0036186)	2	0	.02	-	 < 0.01	1.00E00	1.00E00
Golgi cisterna (GO:0031985)	32	0	.26	-	 < 0.01	1.00E00	1.00E00
BAK complex (GO:0097145)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
