




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	10_Muscle_Active_SpecificSwitches.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	10_Muscle_Active_SpecificSwitches.txt (36)	10_Muscle_Active_SpecificSwitches.txt (expected)	10_Muscle_Active_SpecificSwitches.txt (over/under)	10_Muscle_Active_SpecificSwitches.txt (fold Enrichment)	10_Muscle_Active_SpecificSwitches.txt (raw P-value)	10_Muscle_Active_SpecificSwitches.txt (FDR)
regulation of cell cycle G2/M phase transition (GO:1902749)	39	1	.31	+	3.21	2.73E-01	1.00E00
organelle fusion (GO:0048284)	39	1	.31	+	3.21	2.73E-01	1.00E00
hexose metabolic process (GO:0019318)	40	1	.32	+	3.13	2.79E-01	1.00E00
regulation of response to endoplasmic reticulum stress (GO:1905897)	40	1	.32	+	3.13	2.79E-01	1.00E00
DNA integrity checkpoint signaling (GO:0031570)	40	1	.32	+	3.13	2.79E-01	1.00E00
DNA damage checkpoint signaling (GO:0000077)	40	1	.32	+	3.13	2.79E-01	1.00E00
regulation of histone methylation (GO:0031060)	40	1	.32	+	3.13	2.79E-01	1.00E00
cellular component assembly involved in morphogenesis (GO:0010927)	40	1	.32	+	3.13	2.79E-01	1.00E00
cytoskeleton organization (GO:0007010)	364	9	2.90	+	3.10	1.95E-03	1.00E00
epithelial tube formation (GO:0072175)	41	1	.33	+	3.06	2.85E-01	1.00E00
regulation of phosphatidylinositol 3-kinase signaling (GO:0014066)	41	1	.33	+	3.06	2.85E-01	1.00E00
skeletal muscle tissue development (GO:0007519)	41	1	.33	+	3.06	2.85E-01	1.00E00
microtubule-based process (GO:0007017)	209	5	1.67	+	3.00	2.52E-02	1.00E00
positive regulation of canonical Wnt signaling pathway (GO:0090263)	42	1	.34	+	2.98	2.91E-01	1.00E00
membrane fusion (GO:0061025)	42	1	.34	+	2.98	2.91E-01	1.00E00
positive regulation of DNA repair (GO:0045739)	43	1	.34	+	2.92	2.96E-01	1.00E00
regulation of extrinsic apoptotic signaling pathway (GO:2001236)	43	1	.34	+	2.92	2.96E-01	1.00E00
regulation of gene expression, epigenetic (GO:0040029)	43	1	.34	+	2.92	2.96E-01	1.00E00
activation of protein kinase activity (GO:0032147)	43	1	.34	+	2.92	2.96E-01	1.00E00
viral process (GO:0016032)	87	2	.69	+	2.88	1.56E-01	1.00E00
regulation of actin filament polymerization (GO:0030833)	44	1	.35	+	2.85	3.02E-01	1.00E00
actomyosin structure organization (GO:0031032)	44	1	.35	+	2.85	3.02E-01	1.00E00
negative regulation of neuron projection development (GO:0010977)	44	1	.35	+	2.85	3.02E-01	1.00E00
protein dephosphorylation (GO:0006470)	90	2	.72	+	2.79	1.64E-01	1.00E00
skeletal muscle organ development (GO:0060538)	45	1	.36	+	2.79	3.07E-01	1.00E00
proteasome-mediated ubiquitin-dependent protein catabolic process (GO:0043161)	136	3	1.08	+	2.77	9.60E-02	1.00E00
regulation of response to wounding (GO:1903034)	46	1	.37	+	2.73	3.13E-01	1.00E00
protein-containing complex disassembly (GO:0032984)	46	1	.37	+	2.73	3.13E-01	1.00E00
protein import into nucleus (GO:0006606)	46	1	.37	+	2.73	3.13E-01	1.00E00
regulation of synapse organization (GO:0050807)	46	1	.37	+	2.73	3.13E-01	1.00E00
regulation of actin filament organization (GO:0110053)	93	2	.74	+	2.70	1.73E-01	1.00E00
vesicle organization (GO:0016050)	93	2	.74	+	2.70	1.73E-01	1.00E00
monosaccharide metabolic process (GO:0005996)	47	1	.37	+	2.67	3.18E-01	1.00E00
regulation of synapse structure or activity (GO:0050803)	47	1	.37	+	2.67	3.18E-01	1.00E00
negative regulation of protein-containing complex assembly (GO:0031333)	47	1	.37	+	2.67	3.18E-01	1.00E00
regulation of nucleocytoplasmic transport (GO:0046822)	47	1	.37	+	2.67	3.18E-01	1.00E00
negative regulation of cell development (GO:0010721)	47	1	.37	+	2.67	3.18E-01	1.00E00
tube formation (GO:0035148)	47	1	.37	+	2.67	3.18E-01	1.00E00
negative regulation of cell-cell adhesion (GO:0022408)	47	1	.37	+	2.67	3.18E-01	1.00E00
organelle assembly (GO:0070925)	240	5	1.91	+	2.61	4.18E-02	1.00E00
nucleocytoplasmic transport (GO:0006913)	96	2	.77	+	2.61	1.81E-01	1.00E00
ameboidal-type cell migration (GO:0001667)	48	1	.38	+	2.61	3.24E-01	1.00E00
import into nucleus (GO:0051170)	48	1	.38	+	2.61	3.24E-01	1.00E00
nuclear transport (GO:0051169)	96	2	.77	+	2.61	1.81E-01	1.00E00
regulation of neuron apoptotic process (GO:0043523)	48	1	.38	+	2.61	3.24E-01	1.00E00
hindbrain development (GO:0030902)	48	1	.38	+	2.61	3.24E-01	1.00E00
nucleosome organization (GO:0034728)	48	1	.38	+	2.61	3.24E-01	1.00E00
proteasomal protein catabolic process (GO:0010498)	146	3	1.16	+	2.58	1.12E-01	1.00E00
chromatin assembly (GO:0031497)	49	1	.39	+	2.56	3.29E-01	1.00E00
regulation of small GTPase mediated signal transduction (GO:0051056)	98	2	.78	+	2.56	1.87E-01	1.00E00
cell cycle checkpoint signaling (GO:0000075)	49	1	.39	+	2.56	3.29E-01	1.00E00
negative regulation of protein catabolic process (GO:0042177)	49	1	.39	+	2.56	3.29E-01	1.00E00
positive regulation of cell-cell adhesion (GO:0022409)	49	1	.39	+	2.56	3.29E-01	1.00E00
negative regulation of supramolecular fiber organization (GO:1902904)	49	1	.39	+	2.56	3.29E-01	1.00E00
positive regulation of lipid metabolic process (GO:0045834)	49	1	.39	+	2.56	3.29E-01	1.00E00
nuclear chromosome segregation (GO:0098813)	50	1	.40	+	2.51	3.35E-01	1.00E00
signal transduction in response to DNA damage (GO:0042770)	51	1	.41	+	2.46	3.40E-01	1.00E00
epidermis development (GO:0008544)	51	1	.41	+	2.46	3.40E-01	1.00E00
calcium ion transport (GO:0006816)	52	1	.41	+	2.41	3.45E-01	1.00E00
negative regulation of cytokine production (GO:0001818)	52	1	.41	+	2.41	3.45E-01	1.00E00
regulation of cellular component size (GO:0032535)	106	2	.85	+	2.37	2.10E-01	1.00E00
negative regulation of cytoskeleton organization (GO:0051494)	53	1	.42	+	2.37	3.51E-01	1.00E00
positive regulation of epithelial cell proliferation (GO:0050679)	53	1	.42	+	2.37	3.51E-01	1.00E00
positive regulation of Wnt signaling pathway (GO:0030177)	53	1	.42	+	2.37	3.51E-01	1.00E00
establishment of vesicle localization (GO:0051650)	54	1	.43	+	2.32	3.56E-01	1.00E00
mRNA transport (GO:0051028)	54	1	.43	+	2.32	3.56E-01	1.00E00
germ cell development (GO:0007281)	55	1	.44	+	2.28	3.61E-01	1.00E00
vesicle localization (GO:0051648)	56	1	.45	+	2.24	3.66E-01	1.00E00
nuclear export (GO:0051168)	56	1	.45	+	2.24	3.66E-01	1.00E00
negative regulation of mitotic cell cycle phase transition (GO:1901991)	57	1	.45	+	2.20	3.71E-01	1.00E00
positive regulation of response to DNA damage stimulus (GO:2001022)	57	1	.45	+	2.20	3.71E-01	1.00E00
negative regulation of neuron death (GO:1901215)	57	1	.45	+	2.20	3.71E-01	1.00E00
regulation of actin cytoskeleton organization (GO:0032956)	118	2	.94	+	2.12	2.45E-01	1.00E00
protein folding (GO:0006457)	59	1	.47	+	2.12	3.81E-01	1.00E00
regulation of cold-induced thermogenesis (GO:0120161)	59	1	.47	+	2.12	3.81E-01	1.00E00
learning or memory (GO:0007611)	59	1	.47	+	2.12	3.81E-01	1.00E00
response to ionizing radiation (GO:0010212)	60	1	.48	+	2.09	3.86E-01	1.00E00
negative regulation of apoptotic signaling pathway (GO:2001234)	60	1	.48	+	2.09	3.86E-01	1.00E00
Golgi organization (GO:0007030)	60	1	.48	+	2.09	3.86E-01	1.00E00
microtubule-based transport (GO:0099111)	60	1	.48	+	2.09	3.86E-01	1.00E00
transmembrane transport (GO:0055085)	240	4	1.91	+	2.09	1.25E-01	1.00E00
DNA packaging (GO:0006323)	61	1	.49	+	2.06	3.91E-01	1.00E00
regulation of supramolecular fiber organization (GO:1902903)	122	2	.97	+	2.06	2.57E-01	1.00E00
localization of cell (GO:0051674)	246	4	1.96	+	2.04	1.33E-01	1.00E00
cell motility (GO:0048870)	246	4	1.96	+	2.04	1.33E-01	1.00E00
dephosphorylation (GO:0016311)	123	2	.98	+	2.04	2.60E-01	1.00E00
chromatin assembly or disassembly (GO:0006333)	62	1	.49	+	2.02	3.96E-01	1.00E00
regulation of DNA repair (GO:0006282)	62	1	.49	+	2.02	3.96E-01	1.00E00
protein import (GO:0017038)	62	1	.49	+	2.02	3.96E-01	1.00E00
protein deubiquitination (GO:0016579)	62	1	.49	+	2.02	3.96E-01	1.00E00
Unclassified (UNCLASSIFIED)	248	4	1.98	+	2.02	1.36E-01	1.00E00
muscle cell development (GO:0055001)	62	1	.49	+	2.02	3.96E-01	1.00E00
regulation of cell adhesion (GO:0030155)	187	3	1.49	+	2.01	1.89E-01	1.00E00
epithelial cell development (GO:0002064)	63	1	.50	+	1.99	4.01E-01	1.00E00
striated muscle cell differentiation (GO:0051146)	63	1	.50	+	1.99	4.01E-01	1.00E00
actin cytoskeleton organization (GO:0030036)	190	3	1.52	+	1.98	1.95E-01	1.00E00
negative regulation of cell projection organization (GO:0031345)	64	1	.51	+	1.96	4.06E-01	1.00E00
cytosolic transport (GO:0016482)	64	1	.51	+	1.96	4.06E-01	1.00E00
regulation of Ras protein signal transduction (GO:0046578)	64	1	.51	+	1.96	4.06E-01	1.00E00
regulation of actin filament-based process (GO:0032970)	130	2	1.04	+	1.93	2.81E-01	1.00E00
regulation of protein polymerization (GO:0032271)	65	1	.52	+	1.93	4.10E-01	1.00E00
monocarboxylic acid metabolic process (GO:0032787)	131	2	1.04	+	1.91	2.84E-01	1.00E00
regulation of anatomical structure size (GO:0090066)	132	2	1.05	+	1.90	2.87E-01	1.00E00
double-strand break repair (GO:0006302)	67	1	.53	+	1.87	4.20E-01	1.00E00
positive regulation of supramolecular fiber organization (GO:1902905)	67	1	.53	+	1.87	4.20E-01	1.00E00
regulation of plasma membrane bounded cell projection organization (GO:0120035)	204	3	1.63	+	1.84	2.24E-01	1.00E00
cognition (GO:0050890)	68	1	.54	+	1.84	4.24E-01	1.00E00
cytoskeleton-dependent intracellular transport (GO:0030705)	68	1	.54	+	1.84	4.24E-01	1.00E00
regulation of neuron projection development (GO:0010975)	136	2	1.08	+	1.84	2.99E-01	1.00E00
actin filament-based process (GO:0030029)	205	3	1.64	+	1.83	2.26E-01	1.00E00
protein-DNA complex subunit organization (GO:0071824)	69	1	.55	+	1.82	4.29E-01	1.00E00
anatomical structure homeostasis (GO:0060249)	69	1	.55	+	1.82	4.29E-01	1.00E00
negative regulation of mitotic cell cycle (GO:0045930)	69	1	.55	+	1.82	4.29E-01	1.00E00
regulation of cell projection organization (GO:0031344)	207	3	1.65	+	1.82	2.30E-01	1.00E00
regulation of vesicle-mediated transport (GO:0060627)	140	2	1.12	+	1.79	3.10E-01	1.00E00
protein modification by small protein removal (GO:0070646)	72	1	.57	+	1.74	4.43E-01	1.00E00
protein localization to nucleus (GO:0034504)	72	1	.57	+	1.74	4.43E-01	1.00E00
locomotion (GO:0040011)	289	4	2.31	+	1.74	2.89E-01	1.00E00
negative regulation of cellular component organization (GO:0051129)	222	3	1.77	+	1.69	4.22E-01	1.00E00
negative regulation of cell cycle phase transition (GO:1901988)	74	1	.59	+	1.69	4.52E-01	1.00E00
positive regulation of cytoskeleton organization (GO:0051495)	74	1	.59	+	1.69	4.52E-01	1.00E00
cellular process involved in reproduction in multicellular organism (GO:0022412)	74	1	.59	+	1.69	4.52E-01	1.00E00
ubiquitin-dependent protein catabolic process (GO:0006511)	224	3	1.79	+	1.68	4.24E-01	1.00E00
modification-dependent protein catabolic process (GO:0019941)	224	3	1.79	+	1.68	4.24E-01	1.00E00
cilium assembly (GO:0060271)	75	1	.60	+	1.67	4.56E-01	1.00E00
regulation of canonical Wnt signaling pathway (GO:0060828)	75	1	.60	+	1.67	4.56E-01	1.00E00
DNA metabolic process (GO:0006259)	227	3	1.81	+	1.66	4.27E-01	1.00E00
mitotic cell cycle process (GO:1903047)	152	2	1.21	+	1.65	3.46E-01	1.00E00
modification-dependent macromolecule catabolic process (GO:0043632)	228	3	1.82	+	1.65	4.27E-01	1.00E00
regulation of cell-substrate adhesion (GO:0010810)	77	1	.61	+	1.63	4.65E-01	1.00E00
actin filament organization (GO:0007015)	78	1	.62	+	1.61	4.69E-01	1.00E00
microtubule-based movement (GO:0007018)	79	1	.63	+	1.59	4.73E-01	1.00E00
regulation of protein catabolic process (GO:0042176)	158	2	1.26	+	1.59	3.63E-01	1.00E00
ion transmembrane transport (GO:0034220)	161	2	1.28	+	1.56	3.72E-01	1.00E00
regulation of histone modification (GO:0031056)	81	1	.65	+	1.55	4.82E-01	1.00E00
intracellular transport (GO:0046907)	487	6	3.88	+	1.54	2.75E-01	1.00E00
cilium organization (GO:0044782)	82	1	.65	+	1.53	4.86E-01	1.00E00
transport (GO:0006810)	991	12	7.91	+	1.52	1.08E-01	1.00E00
proteolysis involved in cellular protein catabolic process (GO:0051603)	248	3	1.98	+	1.52	4.48E-01	1.00E00
supramolecular fiber organization (GO:0097435)	166	2	1.32	+	1.51	3.86E-01	1.00E00
negative regulation of cell migration (GO:0030336)	83	1	.66	+	1.51	4.90E-01	1.00E00
kidney development (GO:0001822)	84	1	.67	+	1.49	4.94E-01	1.00E00
localization (GO:0051179)	1350	16	10.77	+	1.49	6.78E-02	1.00E00
endomembrane system organization (GO:0010256)	169	2	1.35	+	1.48	3.95E-01	1.00E00
renal system development (GO:0072001)	85	1	.68	+	1.47	4.98E-01	1.00E00
regulation of neuron death (GO:1901214)	85	1	.68	+	1.47	4.98E-01	1.00E00
DNA repair (GO:0006281)	171	2	1.36	+	1.47	4.00E-01	1.00E00
cellular protein catabolic process (GO:0044257)	257	3	2.05	+	1.46	4.58E-01	1.00E00
cellular component assembly (GO:0022607)	687	8	5.48	+	1.46	2.44E-01	1.00E00
positive regulation of GTPase activity (GO:0043547)	86	1	.69	+	1.46	5.02E-01	1.00E00
muscle cell differentiation (GO:0042692)	86	1	.69	+	1.46	5.02E-01	1.00E00
establishment of localization (GO:0051234)	1038	12	8.28	+	1.45	1.63E-01	1.00E00
central nervous system development (GO:0007417)	260	3	2.07	+	1.45	4.62E-01	1.00E00
negative regulation of cell motility (GO:2000146)	87	1	.69	+	1.44	5.06E-01	1.00E00
regulation of response to biotic stimulus (GO:0002831)	87	1	.69	+	1.44	5.06E-01	1.00E00
alcohol metabolic process (GO:0006066)	88	1	.70	+	1.42	5.10E-01	1.00E00
protein modification by small protein conjugation or removal (GO:0070647)	353	4	2.82	+	1.42	5.25E-01	1.00E00
movement of cell or subcellular component (GO:0006928)	356	4	2.84	+	1.41	5.26E-01	1.00E00
fatty acid metabolic process (GO:0006631)	89	1	.71	+	1.41	5.14E-01	1.00E00
regulation of chromosome organization (GO:0033044)	89	1	.71	+	1.41	5.14E-01	1.00E00
mitotic cell cycle (GO:0000278)	178	2	1.42	+	1.41	6.52E-01	1.00E00
regulation of cell-cell adhesion (GO:0022407)	89	1	.71	+	1.41	5.14E-01	1.00E00
striated muscle tissue development (GO:0014706)	89	1	.71	+	1.41	5.14E-01	1.00E00
anatomical structure formation involved in morphogenesis (GO:0048646)	267	3	2.13	+	1.41	4.71E-01	1.00E00
organelle organization (GO:0006996)	1073	12	8.56	+	1.40	1.74E-01	1.00E00
regulation of cytoskeleton organization (GO:0051493)	180	2	1.44	+	1.39	6.54E-01	1.00E00
negative regulation of cellular component movement (GO:0051271)	90	1	.72	+	1.39	5.18E-01	1.00E00
protein ubiquitination (GO:0016567)	272	3	2.17	+	1.38	4.77E-01	1.00E00
protein catabolic process (GO:0030163)	272	3	2.17	+	1.38	4.77E-01	1.00E00
muscle organ development (GO:0007517)	91	1	.73	+	1.38	5.22E-01	1.00E00
positive regulation of DNA metabolic process (GO:0051054)	92	1	.73	+	1.36	5.26E-01	1.00E00
epithelial tube morphogenesis (GO:0060562)	92	1	.73	+	1.36	5.26E-01	1.00E00
regulation of cell migration (GO:0030334)	278	3	2.22	+	1.35	4.85E-01	1.00E00
establishment of localization in cell (GO:0051649)	558	6	4.45	+	1.35	4.42E-01	1.00E00
regulation of cellular component organization (GO:0051128)	744	8	5.93	+	1.35	3.66E-01	1.00E00
sexual reproduction (GO:0019953)	186	2	1.48	+	1.35	6.60E-01	1.00E00
negative regulation of cell cycle process (GO:0010948)	94	1	.75	+	1.33	5.34E-01	1.00E00
biological process involved in interspecies interaction between organisms (GO:0044419)	283	3	2.26	+	1.33	4.92E-01	1.00E00
urogenital system development (GO:0001655)	95	1	.76	+	1.32	5.37E-01	1.00E00
negative regulation of gene expression (GO:0010629)	285	3	2.27	+	1.32	4.95E-01	1.00E00
muscle tissue development (GO:0060537)	95	1	.76	+	1.32	5.37E-01	1.00E00
positive regulation of protein catabolic process (GO:0045732)	96	1	.77	+	1.31	5.41E-01	1.00E00
negative regulation of locomotion (GO:0040013)	96	1	.77	+	1.31	5.41E-01	1.00E00
regulation of cell motility (GO:2000145)	289	3	2.31	+	1.30	5.01E-01	1.00E00
proteolysis (GO:0006508)	386	4	3.08	+	1.30	5.45E-01	1.00E00
protein modification by small protein conjugation (GO:0032446)	290	3	2.31	+	1.30	5.02E-01	1.00E00
cellular component biogenesis (GO:0044085)	775	8	6.18	+	1.29	3.81E-01	1.00E00
regulation of epithelial cell proliferation (GO:0050678)	97	1	.77	+	1.29	5.45E-01	1.00E00
regulation of Wnt signaling pathway (GO:0030111)	97	1	.77	+	1.29	5.45E-01	1.00E00
regulation of mitotic cell cycle phase transition (GO:1901990)	99	1	.79	+	1.27	5.52E-01	1.00E00
protein-containing complex subunit organization (GO:0043933)	396	4	3.16	+	1.27	5.53E-01	1.00E00
DNA conformation change (GO:0071103)	99	1	.79	+	1.27	5.52E-01	1.00E00
chromatin remodeling (GO:0006338)	100	1	.80	+	1.25	5.56E-01	1.00E00
macromolecule methylation (GO:0043414)	100	1	.80	+	1.25	5.56E-01	1.00E00
regulation of locomotion (GO:0040012)	301	3	2.40	+	1.25	7.31E-01	1.00E00
inorganic cation transmembrane transport (GO:0098662)	101	1	.81	+	1.24	5.59E-01	1.00E00
response to bacterium (GO:0009617)	101	1	.81	+	1.24	5.59E-01	1.00E00
gland development (GO:0048732)	102	1	.81	+	1.23	5.63E-01	1.00E00
cellular component disassembly (GO:0022411)	102	1	.81	+	1.23	5.63E-01	1.00E00
regulation of response to stress (GO:0080134)	411	4	3.28	+	1.22	5.66E-01	1.00E00
nitrogen compound transport (GO:0071705)	514	5	4.10	+	1.22	5.97E-01	1.00E00
mRNA processing (GO:0006397)	206	2	1.64	+	1.22	6.80E-01	1.00E00
regulation of cellular component movement (GO:0051270)	310	3	2.47	+	1.21	7.35E-01	1.00E00
macromolecule modification (GO:0043412)	1038	10	8.28	+	1.21	5.50E-01	1.00E00
regulation of response to DNA damage stimulus (GO:2001020)	104	1	.83	+	1.21	5.70E-01	1.00E00
regulation of lipid metabolic process (GO:0019216)	105	1	.84	+	1.19	5.73E-01	1.00E00
negative regulation of transport (GO:0051051)	105	1	.84	+	1.19	5.73E-01	1.00E00
positive regulation of cell adhesion (GO:0045785)	106	1	.85	+	1.18	5.77E-01	1.00E00
multi-organism reproductive process (GO:0044703)	213	2	1.70	+	1.18	6.87E-01	1.00E00
regulation of apoptotic signaling pathway (GO:2001233)	108	1	.86	+	1.16	5.84E-01	1.00E00
cellular macromolecule catabolic process (GO:0044265)	324	3	2.58	+	1.16	7.42E-01	1.00E00
regulation of cell morphogenesis (GO:0022604)	108	1	.86	+	1.16	5.84E-01	1.00E00
cellular localization (GO:0051641)	764	7	6.09	+	1.15	6.57E-01	1.00E00
cell adhesion (GO:0007155)	220	2	1.75	+	1.14	6.95E-01	1.00E00
methylation (GO:0032259)	110	1	.88	+	1.14	5.90E-01	1.00E00
biological adhesion (GO:0022610)	220	2	1.75	+	1.14	6.95E-01	1.00E00
carboxylic acid metabolic process (GO:0019752)	221	2	1.76	+	1.13	6.96E-01	1.00E00
plasma membrane bounded cell projection assembly (GO:0120031)	111	1	.89	+	1.13	5.94E-01	1.00E00
inorganic ion transmembrane transport (GO:0098660)	112	1	.89	+	1.12	5.97E-01	1.00E00
positive regulation of catalytic activity (GO:0043085)	336	3	2.68	+	1.12	7.48E-01	1.00E00
cellular protein-containing complex assembly (GO:0034622)	224	2	1.79	+	1.12	6.99E-01	1.00E00
membrane organization (GO:0061024)	224	2	1.79	+	1.12	6.99E-01	1.00E00
oxoacid metabolic process (GO:0043436)	225	2	1.79	+	1.11	7.00E-01	1.00E00
negative regulation of metabolic process (GO:0009892)	903	8	7.20	+	1.11	6.80E-01	1.00E00
ion transport (GO:0006811)	226	2	1.80	+	1.11	7.01E-01	1.00E00
organic hydroxy compound metabolic process (GO:1901615)	113	1	.90	+	1.11	6.00E-01	1.00E00
cell migration (GO:0016477)	226	2	1.80	+	1.11	7.01E-01	1.00E00
positive regulation of protein kinase activity (GO:0045860)	113	1	.90	+	1.11	6.00E-01	1.00E00
establishment of protein localization to organelle (GO:0072594)	113	1	.90	+	1.11	6.00E-01	1.00E00
small molecule biosynthetic process (GO:0044283)	114	1	.91	+	1.10	6.04E-01	1.00E00
cell projection assembly (GO:0030031)	114	1	.91	+	1.10	6.04E-01	1.00E00
negative regulation of cell cycle (GO:0045786)	115	1	.92	+	1.09	6.07E-01	1.00E00
organic acid metabolic process (GO:0006082)	230	2	1.83	+	1.09	7.06E-01	1.00E00
behavior (GO:0007610)	115	1	.92	+	1.09	6.07E-01	1.00E00
regulation of cell cycle process (GO:0010564)	231	2	1.84	+	1.09	7.07E-01	1.00E00
spermatogenesis (GO:0007283)	116	1	.93	+	1.08	6.10E-01	1.00E00
negative regulation of apoptotic process (GO:0043066)	232	2	1.85	+	1.08	7.08E-01	1.00E00
chromatin organization (GO:0006325)	233	2	1.86	+	1.08	7.09E-01	1.00E00
establishment of organelle localization (GO:0051656)	117	1	.93	+	1.07	6.13E-01	1.00E00
organic substance transport (GO:0071702)	586	5	4.67	+	1.07	8.04E-01	1.00E00
cation transmembrane transport (GO:0098655)	118	1	.94	+	1.06	6.16E-01	1.00E00
macromolecule catabolic process (GO:0009057)	356	3	2.84	+	1.06	7.60E-01	1.00E00
negative regulation of catabolic process (GO:0009895)	119	1	.95	+	1.05	6.19E-01	1.00E00
response to radiation (GO:0009314)	119	1	.95	+	1.05	6.19E-01	1.00E00
negative regulation of macromolecule metabolic process (GO:0010605)	835	7	6.66	+	1.05	8.31E-01	1.00E00
protein localization to organelle (GO:0033365)	239	2	1.91	+	1.05	7.16E-01	1.00E00
negative regulation of programmed cell death (GO:0043069)	239	2	1.91	+	1.05	7.16E-01	1.00E00
male gamete generation (GO:0048232)	120	1	.96	+	1.04	6.23E-01	1.00E00
cellular protein modification process (GO:0006464)	964	8	7.69	+	1.04	8.40E-01	1.00E00
protein modification process (GO:0036211)	964	8	7.69	+	1.04	8.40E-01	1.00E00
cell cycle process (GO:0022402)	241	2	1.92	+	1.04	7.18E-01	1.00E00
metal ion transport (GO:0030001)	121	1	.97	+	1.04	1.00E00	1.00E00
organonitrogen compound catabolic process (GO:1901565)	365	3	2.91	+	1.03	1.00E00	1.00E00
