




Analysis Type:	PANTHER Overrepresentation Test (Released 20220202)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.5725227 Released 2020-11-01
Analyzed List:	15_Muscle_DeAndDiuGenes.txt (Homo sapiens)
Reference List:	Muscle_Background_AllMultiIsoGenes.txt (Homo sapiens)
Test Type:	FISHER
Correction:	FDR
GO molecular function complete	Muscle_Background_AllMultiIsoGenes.txt - REFLIST (4513)	15_Muscle_DeAndDiuGenes.txt (6)	15_Muscle_DeAndDiuGenes.txt (expected)	15_Muscle_DeAndDiuGenes.txt (over/under)	15_Muscle_DeAndDiuGenes.txt (fold Enrichment)	15_Muscle_DeAndDiuGenes.txt (raw P-value)	15_Muscle_DeAndDiuGenes.txt (FDR)
3'-flap-structured DNA binding (GO:0070337)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
flap-structured DNA binding (GO:0070336)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adrenergic receptor binding (GO:0031690)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
membrane curvature sensor activity (GO:0140090)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
5S rRNA binding (GO:0008097)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the aldehyde or oxo group of donors (GO:0016903)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
Fas-activated serine/threonine kinase activity (GO:0033867)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor (GO:0016901)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP-dependent activity, acting on DNA (GO:0008094)	43	0	.06	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine floppase activity (GO:0090556)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
cytoskeletal anchor activity (GO:0008093)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidylethanolamine flippase activity (GO:0090555)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
cytoskeletal protein binding (GO:0008092)	332	0	.44	-	 < 0.01	1.00E00	1.00E00
UFM1 ligase activity (GO:0061666)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylcholine floppase activity (GO:0090554)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
acetyl-CoA binding (GO:1905502)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
SUMO ligase activity (GO:0061665)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
NEDD8 ligase activity (GO:0061663)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
DNA-directed DNA polymerase activity (GO:0003887)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA (cytosine-5-)-methyltransferase activity (GO:0003886)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CTP synthase activity (GO:0003883)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
A1 adenosine receptor binding (GO:0031686)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
adenosine receptor binding (GO:0031685)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol-inositol 3-phosphatidyltransferase activity (GO:0003881)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein C-terminal carboxyl O-methyltransferase activity (GO:0003880)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G-protein beta/gamma-subunit complex binding (GO:0031683)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
very-low-density lipoprotein particle receptor binding (GO:0070326)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G-protein beta-subunit binding (GO:0031681)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
lipoprotein particle receptor binding (GO:0070325)	13	0	.02	-	 < 0.01	1.00E00	1.00E00
thyroid hormone binding (GO:0070324)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
neurotransmitter receptor activity (GO:0030594)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
inward rectifier potassium channel inhibitor activity (GO:0070320)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen receptor activity (GO:0038064)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
protein tyrosine kinase collagen receptor activity (GO:0038062)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetylgalactosamine kinase activity (GO:0033858)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
diphosphoinositol-pentakisphosphate kinase activity (GO:0033857)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ion channel regulator activity (GO:0099106)	31	0	.04	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein ligase activity (GO:0061659)	128	0	.17	-	 < 0.01	1.00E00	1.00E00
growth factor activity (GO:0008083)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphoric diester hydrolase activity (GO:0008081)	23	0	.03	-	 < 0.01	1.00E00	1.00E00
copper-dependent protein binding (GO:0032767)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetyltransferase activity (GO:0008080)	28	0	.04	-	 < 0.01	1.00E00	1.00E00
MIT domain binding (GO:0090541)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
AMP deaminase activity (GO:0003876)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ADP-ribosylarginine hydrolase activity (GO:0003875)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-like protein conjugating enzyme activity (GO:0061650)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
6-pyruvoyltetrahydropterin synthase activity (GO:0003874)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
6-phosphofructo-2-kinase activity (GO:0003873)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
6-phosphofructokinase activity (GO:0003872)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell adhesive protein binding involved in bundle of His cell-Purkinje myocyte communication (GO:0086083)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
[methionine synthase] reductase activity (GO:0030586)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein binding involved in heterotypic cell-cell adhesion (GO:0086080)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
quinone cofactor methyltransferase activity (GO:0030580)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pseudophosphatase activity (GO:0001691)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation termination factor activity (GO:0008079)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin modification-dependent histone binding (GO:0061649)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ornithine decarboxylase inhibitor activity (GO:0008073)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
N-acetyl-beta-glucosaminyl-glycoprotein 4-beta-N-acetylgalactosaminyltransferase activity (GO:0033842)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-methyl-2-oxobutanoate dehydrogenase (2-methylpropanoyl-transferring) activity (GO:0003863)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-hydroxyisobutyryl-CoA hydrolase activity (GO:0003860)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
aspartic endopeptidase activity, intramembrane cleaving (GO:0042500)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphatidic acid binding (GO:0070300)	8	0	.01	-	 < 0.01	1.00E00	1.00E00
sialate O-acetylesterase activity (GO:0001681)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcitonin receptor activity (GO:0004948)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
angiotensin type II receptor activity (GO:0004945)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
G-quadruplex DNA binding (GO:0051880)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
3-hydroxybutyrate dehydrogenase activity (GO:0003858)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
3-hydroxyacyl-CoA dehydrogenase activity (GO:0003857)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
carboxyl-O-methyltransferase activity (GO:0010340)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme activity (GO:0061631)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
ubiquitin protein ligase activity (GO:0061630)	123	0	.16	-	 < 0.01	1.00E00	1.00E00
3-beta-hydroxy-delta5-steroid dehydrogenase activity (GO:0003854)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
2-methylacyl-CoA dehydrogenase activity (GO:0003853)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated sodium channel activity involved in Purkinje myocyte action potential (GO:0086062)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sphingosine-1-phosphate receptor activity (GO:0038036)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Hsp90 protein binding (GO:0051879)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
SHG alpha-glucan phosphorylase activity (GO:0102499)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II-specific DNA-binding transcription factor binding (GO:0061629)	141	0	.19	-	 < 0.01	1.00E00	1.00E00
H3K27me3 modified histone binding (GO:0061628)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
RAGE receptor binding (GO:0050786)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
1-alkyl-2-acetylglycerophosphocholine esterase activity (GO:0003847)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
extracellularly ATP-gated cation channel activity (GO:0004931)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
2-acylglycerol O-acyltransferase activity (GO:0003846)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor activity (GO:0004930)	29	0	.04	-	 < 0.01	1.00E00	1.00E00
dopamine receptor binding (GO:0050780)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
voltage-gated calcium channel activity involved in bundle of His cell action potential (GO:0086057)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1-pyrroline-5-carboxylate dehydrogenase activity (GO:0003842)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
1-acylglycerol-3-phosphate O-acyltransferase activity (GO:0003841)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
cGMP binding (GO:0030553)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase activity (GO:0001665)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cAMP binding (GO:0030552)	9	0	.01	-	 < 0.01	1.00E00	1.00E00
G protein-coupled receptor binding (GO:0001664)	46	0	.06	-	 < 0.01	1.00E00	1.00E00
cyclic nucleotide binding (GO:0030551)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
cargo receptor activity (GO:0038024)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
enzyme activator activity (GO:0008047)	189	0	.25	-	 < 0.01	1.00E00	1.00E00
axon guidance receptor activity (GO:0008046)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-methyl-lysine-36 demethylase activity (GO:0051864)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
propanoyl-CoA C-acyltransferase activity (GO:0033814)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
Roundabout binding (GO:0048495)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycolipid binding (GO:0051861)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
oncostatin-M receptor activity (GO:0004924)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
leukemia inhibitory factor receptor activity (GO:0004923)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-11 receptor activity (GO:0004921)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-galactoside (CMP) alpha-2,3-sialyltransferase activity (GO:0003836)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-galactoside alpha-2,6-sialyltransferase activity (GO:0003835)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sumo-dependent protein binding (GO:0140037)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol 1,4,5-trisphosphate receptor activity involved in regulation of postsynaptic cytosolic calcium levels (GO:0098695)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ubiquitin-dependent protein binding (GO:0140036)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitination-like modification-dependent protein binding (GO:0140035)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity (GO:0003831)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
methylation-dependent protein binding (GO:0140034)	38	0	.05	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor activator activity (GO:0030549)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acetylation-dependent protein binding (GO:0140033)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
acetylcholine receptor regulator activity (GO:0030548)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
signaling receptor inhibitor activity (GO:0030547)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
phosphorylation-dependent protein binding (GO:0140031)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
signaling receptor activator activity (GO:0030546)	46	0	.06	-	 < 0.01	1.00E00	1.00E00
modification-dependent protein binding (GO:0140030)	82	0	.11	-	 < 0.01	1.00E00	1.00E00
signaling receptor regulator activity (GO:0030545)	50	0	.07	-	 < 0.01	1.00E00	1.00E00
Hsp70 protein binding (GO:0030544)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
peptide receptor activity (GO:0001653)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
medium-chain-acyl-CoA dehydrogenase activity (GO:0070991)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
deaminated glutathione amidase activity (GO:0110050)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
snRNP binding (GO:0070990)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
high-density lipoprotein particle binding (GO:0008035)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
beta-tubulin binding (GO:0048487)	18	0	.02	-	 < 0.01	1.00E00	1.00E00
nuclear import signal receptor activity (GO:0061608)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-6 receptor activity (GO:0004915)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-5-phosphate binding (GO:0010314)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-4 receptor activity (GO:0004913)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
alpha-N-acetylneuraminate alpha-2,8-sialyltransferase activity (GO:0003828)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerophosphoinositol glycerophosphodiesterase activity (GO:0047395)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
antigen binding (GO:0003823)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
ubiquitin protein ligase binding (GO:0031625)	111	0	.15	-	 < 0.01	1.00E00	1.00E00
ubiquitin conjugating enzyme binding (GO:0031624)	16	0	.02	-	 < 0.01	1.00E00	1.00E00
enterobactin binding (GO:1903981)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
monocarboxylic acid transmembrane transporter activity (GO:0008028)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
interleukin-1, type I, activating receptor activity (GO:0004909)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interleukin-1 receptor activity (GO:0004908)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
type I interferon receptor activity (GO:0004905)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
interferon receptor activity (GO:0004904)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerophosphocholine phosphodiesterase activity (GO:0047389)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
growth hormone receptor activity (GO:0004903)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
low-density lipoprotein particle receptor binding (GO:0050750)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
structural constituent of chromatin (GO:0030527)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
ATP:3'-cytidine-cytidine-tRNA adenylyltransferase activity (GO:0052929)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dihydrolipoamide S-acyltransferase activity (GO:0030523)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CTP:3'-cytidine-tRNA cytidylyltransferase activity (GO:0052928)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
TIR domain binding (GO:0070976)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
calcitonin gene-related peptide receptor activity (GO:0001635)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
CTP:tRNA cytidylyltransferase activity (GO:0052927)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
FHA domain binding (GO:0070975)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(6)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052926)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
microtubule binding (GO:0008017)	87	0	.12	-	 < 0.01	1.00E00	1.00E00
beta-catenin binding (GO:0008013)	23	0	.03	-	 < 0.01	1.00E00	1.00E00
all-trans-retinyl-palmitate hydrolase, all-trans-retinol forming activity (GO:0047376)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
methylumbelliferyl-acetate deacetylase activity (GO:0047374)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
acylglycerol lipase activity (GO:0047372)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
snoRNP binding (GO:0030519)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
snoRNA binding (GO:0030515)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
glutathione oxidoreductase activity (GO:0097573)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
dol-P-Man:Man(8)GlcNAc(2)-PP-Dol alpha-1,2-mannosyltransferase activity (GO:0052918)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
dolichyl-P-Man:Man(7)GlcNAc(2)-PP-dolichol alpha-1,6-mannosyltransferase (GO:0052917)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
G protein-coupled ADP receptor activity (GO:0001621)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
chemokine activity (GO:0008009)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RS domain binding (GO:0050733)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
benzaldehyde dehydrogenase (NAD+) activity (GO:0018479)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated potassium channel activity involved in cardiac muscle cell action potential repolarization (GO:0086008)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated calcium channel activity involved in cardiac muscle cell action potential (GO:0086007)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
voltage-gated sodium channel activity involved in cardiac muscle cell action potential (GO:0086006)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
spectrin binding (GO:0030507)	10	0	.01	-	 < 0.01	1.00E00	1.00E00
ankyrin binding (GO:0030506)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
virus receptor activity (GO:0001618)	17	0	.02	-	 < 0.01	1.00E00	1.00E00
lipase activity (GO:0016298)	30	0	.04	-	 < 0.01	1.00E00	1.00E00
acyl-[acyl-carrier-protein] hydrolase activity (GO:0016297)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
23S rRNA (adenine(1618)-N(6))-methyltransferase activity (GO:0052907)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
purinergic nucleotide receptor activity (GO:0001614)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
palmitoyl-[acyl-carrier-protein] hydrolase activity (GO:0016296)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation factor activity, non-nucleic acid binding (GO:0045183)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
tRNA (guanine(37)-N(1))-methyltransferase activity (GO:0052906)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
myristoyl-[acyl-carrier-protein] hydrolase activity (GO:0016295)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
translation regulator activity (GO:0045182)	55	0	.07	-	 < 0.01	1.00E00	1.00E00
palmitoyl-CoA hydrolase activity (GO:0016290)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
anaphase-promoting complex binding (GO:0010997)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
cadherin binding involved in cell-cell adhesion (GO:0098641)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
CoA hydrolase activity (GO:0016289)	7	0	.01	-	 < 0.01	1.00E00	1.00E00
adrenomedullin receptor activity (GO:0001605)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerone-phosphate O-acyltransferase activity (GO:0016287)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutathione dehydrogenase (ascorbate) activity (GO:0045174)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-serine transmembrane transporter activity (GO:0015194)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
L-leucine transmembrane transporter activity (GO:0015190)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
phosphatidylinositol-3,4-bisphosphate 3-phosphatase activity (GO:0051800)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
D-ribitol-5-phosphate cytidylyltransferase activity (GO:0047349)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
collagen binding involved in cell-matrix adhesion (GO:0098639)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
sn-1-glycerol-3-phosphate C16:0-DCA-CoA acyl transferase activity (GO:0102420)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
alcohol dehydrogenase [NAD(P)+] activity (GO:0018455)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell-matrix adhesion mediator activity (GO:0098634)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
cell-cell adhesion mediator activity (GO:0098632)	11	0	.01	-	 < 0.01	1.00E00	1.00E00
cell adhesion mediator activity (GO:0098631)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
protein-lysine N-methyltransferase activity (GO:0016279)	21	0	.03	-	 < 0.01	1.00E00	1.00E00
lysine N-methyltransferase activity (GO:0016278)	22	0	.03	-	 < 0.01	1.00E00	1.00E00
[myelin basic protein]-arginine N-methyltransferase activity (GO:0016277)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein-arginine N-methyltransferase activity (GO:0016274)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
L-lysine transmembrane transporter activity (GO:0015189)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
arginine N-methyltransferase activity (GO:0016273)	6	0	.01	-	 < 0.01	1.00E00	1.00E00
glycine transmembrane transporter activity (GO:0015187)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-glutamine transmembrane transporter activity (GO:0015186)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
gamma-aminobutyric acid transmembrane transporter activity (GO:0015185)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-aspartate transmembrane transporter activity (GO:0015183)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
L-asparagine transmembrane transporter activity (GO:0015182)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-alanine transmembrane transporter activity (GO:0015180)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
toxin transmembrane transporter activity (GO:0019534)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase activity (GO:0008693)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
oxalate transmembrane transporter activity (GO:0019531)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
CARD domain binding (GO:0050700)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
myosin II binding (GO:0045159)	4	0	.01	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/dimethyl-lysine-9 demethylase activity (GO:0140684)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-di/monomethyl-lysine-9 demethylase activity (GO:0140683)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-di/monomethyl-lysine-4 FAD-dependent demethylase activity (GO:0140682)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
histone H3-tri/dimethyl-lysine-36 demethylase activity (GO:0140681)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
L-amino acid transmembrane transporter activity (GO:0015179)	15	0	.02	-	 < 0.01	1.00E00	1.00E00
glycoprotein-N-acetylgalactosamine 3-beta-galactosyltransferase activity (GO:0016263)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
protein N-acetylglucosaminyltransferase activity (GO:0016262)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
neutral amino acid transmembrane transporter activity (GO:0015175)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
basic amino acid transmembrane transporter activity (GO:0015174)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
aromatic amino acid transmembrane transporter activity (GO:0015173)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
3-demethylubiquinone-9 3-O-methyltransferase activity (GO:0008689)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
acidic amino acid transmembrane transporter activity (GO:0015172)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
amino acid transmembrane transporter activity (GO:0015171)	20	0	.03	-	 < 0.01	1.00E00	1.00E00
nitric-oxide synthase inhibitor activity (GO:0036487)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
inositol tetrakisphosphate 1-kinase activity (GO:0047325)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
[hydroxymethylglutaryl-CoA reductase (NADPH)] kinase activity (GO:0047322)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
molecular function inhibitor activity (GO:0140678)	14	0	.02	-	 < 0.01	1.00E00	1.00E00
single-stranded DNA 5'-3' exodeoxyribonuclease activity (GO:0045145)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
triplex DNA binding (GO:0045142)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glycerol transmembrane transporter activity (GO:0015168)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
RNA polymerase II general transcription initiation factor activity (GO:0016251)	12	0	.02	-	 < 0.01	1.00E00	1.00E00
polyol transmembrane transporter activity (GO:0015166)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide-sugar transmembrane transporter activity (GO:0015165)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
epidermal growth factor binding (GO:0048408)	3	0	.00	-	 < 0.01	1.00E00	1.00E00
platelet-derived growth factor binding (GO:0048407)	5	0	.01	-	 < 0.01	1.00E00	1.00E00
nerve growth factor binding (GO:0048406)	2	0	.00	-	 < 0.01	1.00E00	1.00E00
brain-derived neurotrophic factor binding (GO:0048403)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
peroxidase inhibitor activity (GO:0036479)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
glutamine-phenylpyruvate transaminase activity (GO:0047316)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
kynurenine-glyoxylate transaminase activity (GO:0047315)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
2,4-dienoyl-CoA reductase (NADPH) activity (GO:0008670)	1	0	.00	-	 < 0.01	1.00E00	1.00E00
